environment,twin_gap,regime,seed,baseline,total_cost,state_cost,energy_cost,switch_cost,nonsmooth_switch_cost,terminal_cost,physical_transitions,observed_transitions,observation_interval,oracle_regret
scalar,no_gap,static,0,kh_dual_control,23.238945321250835,23.215682320319065,0.0,0.0,0.0,0.023263000931763582,30,30,1,17.3424441370857
scalar,no_gap,static,0,arcari_dual_smpc,23.238945321250835,23.215682320319065,0.0,0.0,0.0,0.023263000931763582,30,30,1,17.3424441370857
scalar,no_gap,static,0,tv_gp_lcb,3479.317063714956,2947.0865547471853,17.943749999999998,0.0,1.1500000000000001,513.136758967771,30,30,1,3473.420562530791
scalar,no_gap,static,0,oracle_trend,5.896501184165134,5.560738183233369,0.11250000000000002,0.0,0.2,0.023263000931763547,30,30,1,0.0
scalar,no_gap,static,1,kh_dual_control,56.65809465844665,56.51904884410469,0.0,0.0,0.0,0.13904581434195915,30,30,1,52.32928825962496
scalar,no_gap,static,1,arcari_dual_smpc,56.65809465844665,56.51904884410469,0.0,0.0,0.0,0.13904581434195915,30,30,1,52.32928825962496
scalar,no_gap,static,1,tv_gp_lcb,2070.9398050541536,1767.276689584541,17.71875,0.0,1.2500000000000002,284.69436546961265,30,30,1,2066.610998655332
scalar,no_gap,static,1,oracle_trend,4.32880639882169,3.87726058447973,0.11250000000000002,0.0,0.2,0.13904581434195923,30,30,1,0.0
scalar,no_gap,piecewise,0,kh_dual_control,23.238945321250835,23.215682320319065,0.0,0.0,0.0,0.023263000931763582,30,30,1,16.0991292619266
scalar,no_gap,piecewise,0,arcari_dual_smpc,23.238945321250835,23.215682320319065,0.0,0.0,0.0,0.023263000931763582,30,30,1,16.0991292619266
scalar,no_gap,piecewise,0,tv_gp_lcb,1301.6557657399344,1163.67927467492,16.81875,0.0,1.2000000000000002,119.95774106501464,30,30,1,1294.5159496806102
scalar,no_gap,piecewise,0,oracle_trend,7.139816059324237,6.649316337950332,0.16875,0.0,0.30000000000000004,0.02174972137390435,30,30,1,0.0
scalar,no_gap,piecewise,1,kh_dual_control,56.65809465844665,56.51904884410469,0.0,0.0,0.0,0.13904581434195915,30,30,1,51.85415640570926
scalar,no_gap,piecewise,1,arcari_dual_smpc,56.65809465844665,56.51904884410469,0.0,0.0,0.0,0.13904581434195915,30,30,1,51.85415640570926
scalar,no_gap,piecewise,1,tv_gp_lcb,1784.1949299987973,1763.6620496076612,18.112499999999994,0.0,1.1500000000000004,1.2703803911355191,30,30,1,1779.3909917460599
scalar,no_gap,piecewise,1,oracle_trend,4.803938252737386,4.218025896074783,0.11250000000000002,0.0,0.2,0.2734123566626028,30,30,1,0.0
scalar,no_gap,drifting,0,kh_dual_control,26.294818515348034,25.701641281309023,0.16875,0.0,0.2,0.22442723403901788,30,30,1,14.02548595309148
scalar,no_gap,drifting,0,arcari_dual_smpc,26.294818515348034,25.701641281309023,0.16875,0.0,0.2,0.22442723403901788,30,30,1,14.02548595309148
scalar,no_gap,drifting,0,tv_gp_lcb,6402.332434771099,5797.552987407093,19.518749999999994,0.0,1.2000000000000002,584.0606973640057,30,30,1,6390.063102208842
scalar,no_gap,drifting,0,oracle_trend,12.269332562256555,11.020049419145252,0.39375000000000004,0.0,0.6000000000000001,0.2555331431113,30,30,1,0.0
scalar,no_gap,drifting,1,kh_dual_control,24.827786534209626,23.574266626553502,0.39375000000000004,0.0,0.45000000000000007,0.4097699076561201,30,30,1,15.548180912698841
scalar,no_gap,drifting,1,arcari_dual_smpc,28.17729960951806,27.607481739095675,0.05625000000000001,0.0,0.1,0.413567870422386,30,30,1,18.897693988007276
scalar,no_gap,drifting,1,tv_gp_lcb,10733.071354586295,9336.821824018807,17.212500000000002,0.0,1.3000000000000003,1377.7370305674892,30,30,1,10723.791748964784
scalar,no_gap,drifting,1,oracle_trend,9.279605621510784,8.210675881907223,0.28125,0.0,0.4,0.38767973960356195,30,30,1,0.0
scalar,gap,static,0,kh_dual_control,23.238945321250835,23.215682320319065,0.0,0.0,0.0,0.023263000931763582,30,30,1,17.778425245297598
scalar,gap,static,0,arcari_dual_smpc,23.238945321250835,23.215682320319065,0.0,0.0,0.0,0.023263000931763582,30,30,1,17.778425245297598
scalar,gap,static,0,tv_gp_lcb,6892.623570334517,6846.848843583376,18.73125,0.0,1.2500000000000002,25.793476751141444,30,30,1,6887.163050258564
scalar,gap,static,0,oracle_trend,5.460520075953236,5.146418304855669,0.11250000000000002,0.0,0.2,0.0016017710975663672,30,30,1,0.0
scalar,gap,static,1,kh_dual_control,56.65809465844665,56.51904884410469,0.0,0.0,0.0,0.13904581434195915,30,30,1,52.127231684452255
scalar,gap,static,1,arcari_dual_smpc,56.65809465844665,56.51904884410469,0.0,0.0,0.0,0.13904581434195915,30,30,1,52.127231684452255
scalar,gap,static,1,tv_gp_lcb,19179.15698336053,18068.85759170587,17.662500000000005,0.0,1.3000000000000003,1091.3368916546635,30,30,1,19174.626120386536
scalar,gap,static,1,oracle_trend,4.530862973994397,3.982761002911956,0.11250000000000002,0.0,0.2,0.23560197108244205,30,30,1,0.0
scalar,gap,piecewise,0,kh_dual_control,23.238945321250835,23.215682320319065,0.0,0.0,0.0,0.023263000931763582,30,30,1,14.653460196412285
scalar,gap,piecewise,0,arcari_dual_smpc,23.238945321250835,23.215682320319065,0.0,0.0,0.0,0.023263000931763582,30,30,1,14.653460196412285
scalar,gap,piecewise,0,tv_gp_lcb,15602.237524609744,14249.459126392296,18.95625,0.0,1.3000000000000003,1332.5221482174538,30,30,1,15593.652039484905
scalar,gap,piecewise,0,oracle_trend,8.58548512483855,7.620427540550137,0.28125000000000006,0.0,0.5,0.18380758428841143,30,30,1,0.0
scalar,gap,piecewise,1,kh_dual_control,56.65809465844665,56.51904884410469,0.0,0.0,0.0,0.13904581434195915,30,30,1,51.51709983053656
scalar,gap,piecewise,1,arcari_dual_smpc,56.65809465844665,56.51904884410469,0.0,0.0,0.0,0.13904581434195915,30,30,1,51.51709983053656
scalar,gap,piecewise,1,tv_gp_lcb,13279.226855918354,13258.0764841477,18.731249999999996,0.0,1.2000000000000002,1.219121770655056,30,30,1,13274.085861090443
scalar,gap,piecewise,1,oracle_trend,5.140994827910094,4.424776314507009,0.11250000000000002,0.0,0.2,0.4037185134030858,30,30,1,0.0
scalar,gap,drifting,0,kh_dual_control,25.7990299784445,25.337262593545926,0.16875,0.0,0.2,0.09301738489857586,30,30,1,16.56219517048234
scalar,gap,drifting,0,arcari_dual_smpc,25.7990299784445,25.337262593545926,0.16875,0.0,0.2,0.09301738489857586,30,30,1,16.56219517048234
scalar,gap,drifting,0,tv_gp_lcb,7918.870502881855,6744.702895178862,17.60625,0.0,1.2000000000000002,1155.3613577029942,30,30,1,7909.633668073893
scalar,gap,drifting,0,oracle_trend,9.23683480796216,8.450624863792008,0.28125000000000006,0.0,0.45000000000000007,0.054959944170149405,30,30,1,0.0
scalar,gap,drifting,1,kh_dual_control,21.517353026086784,20.973939832978676,0.16875,0.0,0.15000000000000002,0.22466319310810468,30,30,1,13.477159697051553
scalar,gap,drifting,1,arcari_dual_smpc,27.35202646016971,26.85139242535109,0.05625000000000001,0.0,0.1,0.34438403481861685,30,30,1,19.311833131134478
scalar,gap,drifting,1,tv_gp_lcb,12268.156799295146,10706.070593366747,18.956249999999997,0.0,1.2500000000000002,1541.8799559283989,30,30,1,12260.11660596611
scalar,gap,drifting,1,oracle_trend,8.040193329035231,7.366399554770386,0.16875,0.0,0.3,0.20504377426484463,30,30,1,0.0
