environment,seed,baseline,calibration,planner,t,state,previous_action,action,next_state,calibration_output,true_theta,predicted_reward,realized_reward,task_reward,energy_cost,switching_cost,failure_cost,net_reward,cumulative_task_reward,cumulative_energy_cost,cumulative_switching_cost,cumulative_failure_cost,cumulative_net_reward,planner_queries_step,planner_queries_total,cold_start_transitions,oracle_kind,sweep,cem_population,cem_iterations,selected_action,query_budget
Toy2,0,oracle_current,true_current_dynamics,CEM-MPC oracle,0,0.2,0.2,0.17705308903048975,0.17705308903048975,1.1807080787723234,0.1,1.1892547974312684,1.1787194403771275,1.1807080787723234,0.0015673898167619265,0.00042124857843410437,0.0,1.1787194403771275,1.1807080787723234,0.0015673898167619265,0.00042124857843410437,0.0,1.1787194403771275,64,64,2,oracle_current,cem_population_iterations,16,2,0.17705308903048975,64
Toy2,0,oracle_current,true_current_dynamics,CEM-MPC oracle,1,0.17705308903048975,0.17705308903048975,0.21876549114297403,0.21876549114297403,1.177661646396985,0.1,1.1822587806486105,1.1738767897992388,1.177661646396985,0.0023929170057513326,0.0013919395919948666,0.0,1.1738767897992388,2.3583697251693083,0.003960306822513259,0.001813188170428971,0.0,2.352596230176366,64,128,2,oracle_current,cem_population_iterations,16,2,0.21876549114297403,64
Toy2,0,oracle_current,true_current_dynamics,CEM-MPC oracle,2,0.21876549114297403,0.21876549114297403,0.17947247741154837,0.17947247741154837,1.2126248618017061,0.1,1.196947607827022,1.2097791905518158,1.2126248618017061,0.0016105185074119371,0.0012351527424784043,0.0,1.2097791905518158,3.5709945869710147,0.005570825329925196,0.003048340912907375,0.0,3.562375420728182,64,192,2,oracle_current,cem_population_iterations,16,2,0.17947247741154837,64
Toy2,0,oracle_current,true_current_dynamics,CEM-MPC oracle,3,0.17947247741154837,0.17947247741154837,0.16670033468084072,0.16670033468084072,1.1675368657516354,1.0,1.1423771829775162,1.1660169135685534,1.1675368657516354,0.0013894500791352155,0.00013050210394685457,0.0,1.1660169135685534,4.7385314527226505,0.0069602754090604116,0.0031788430168542296,0.0,4.7283923342967356,64,256,2,oracle_current,cem_population_iterations,16,2,0.16670033468084072,64
Toy2,0,oracle_current,true_current_dynamics,CEM-MPC oracle,4,0.16670033468084072,0.16670033468084072,0.25620204358712334,0.25620204358712334,0.9693549606923028,1.0,0.9345859321299429,0.9596645416176759,0.9693549606923028,0.0032819743569109123,0.00640844471771596,0.0,0.9596645416176759,5.707886413414953,0.010242249765971323,0.00958728773457019,0.0,5.688056875914412,64,320,2,oracle_current,cem_population_iterations,16,2,0.25620204358712334,64
Toy2,0,oracle_current,true_current_dynamics,CEM-MPC oracle,5,0.25620204358712334,0.25620204358712334,0.4476223837270351,0.4476223837270351,0.861860794378235,1.0,0.8279437575331042,0.8225291071621378,0.861860794378235,0.010018289920673655,0.029313397295423618,0.0,0.8225291071621378,6.569747207793188,0.020260539686644978,0.0389006850299938,0.0,6.51058598307655,64,384,2,oracle_current,cem_population_iterations,16,2,0.4476223837270351,64
Toy2,1,oracle_current,true_current_dynamics,CEM-MPC oracle,0,0.2,0.2,0.20579771591185858,0.20579771591185858,1.1916072895326755,0.1,1.2207859517056387,1.1894627637311128,1.1916072895326755,0.0021176349937269026,2.6890807835694438e-05,0.0,1.1894627637311128,1.1916072895326755,0.0021176349937269026,2.6890807835694438e-05,0.0,1.1894627637311128,64,64,2,oracle_current,cem_population_iterations,16,2,0.20579771591185858,64
Toy2,1,oracle_current,true_current_dynamics,CEM-MPC oracle,1,0.20579771591185858,0.20579771591185858,0.16820736391629681,0.16820736391629681,1.1715262312526085,0.1,1.1491030558138515,1.1689811177383047,1.1715262312526085,0.0014146858637834757,0.0011304276505201877,0.0,1.1689811177383047,2.3631335207852837,0.003532320857510378,0.0011573184583558822,0.0,2.3584438814694177,64,128,2,oracle_current,cem_population_iterations,16,2,0.16820736391629681,64
Toy2,1,oracle_current,true_current_dynamics,CEM-MPC oracle,2,0.16820736391629681,0.16820736391629681,0.25213958777559015,0.25213958777559015,0.9448514147528284,0.1,0.9581664452077512,0.936037001605073,0.9448514147528284,0.0031787185861822265,0.005635694561573223,0.0,0.936037001605073,3.307984935538112,0.006711039443692605,0.006793013019929105,0.0,3.294480883074491,64,192,2,oracle_current,cem_population_iterations,16,2,0.25213958777559015,64
Toy2,1,oracle_current,true_current_dynamics,CEM-MPC oracle,3,0.25213958777559015,0.25213958777559015,0.1941335350023709,0.1941335350023709,1.2627522761405645,1.0,1.2252270042023847,1.258176122943275,1.2627522761405645,0.0018843914706258387,0.0026917617266635965,0.0,1.258176122943275,4.570737211678677,0.008595430914318443,0.009484774746592702,0.0,4.552657006017766,64,256,2,oracle_current,cem_population_iterations,16,2,0.1941335350023709,64
