environment,baseline,cem_population,cem_iterations,seed,steps,total_realized_reward,mean_realized_reward,mean_predicted_reward,mean_action,std_action_over_time,planner_queries_total,mean_planner_queries_step
Toy2,oracle_current,16,2,0,6,6.51058598307655,1.0850976638460916,1.0788946764245775,0.24096930326333518,0.09730841265584066,384,64.0
Toy2,oracle_current,16,2,1,6,6.63794425047476,1.1063240417457934,1.097118555103822,0.3516258842743003,0.23721926307069152,384,64.0
Toy2,oracle_current,16,2,2,6,5.689260688889339,0.9482101148148899,0.9258186300636715,0.27709750470859873,0.19237898803020773,384,64.0
Toy2,oracle_current,16,4,0,6,6.882318024735769,1.1470530041226281,1.140850016701114,0.19575491953458946,0.03166570667316902,768,128.0
Toy2,oracle_current,16,4,1,6,7.288398200134586,1.2147330333557644,1.2055275467137931,0.4324328313936558,0.27996712424144155,768,128.0
Toy2,oracle_current,16,4,2,6,6.915926035334105,1.152654339222351,1.1302628544711324,0.37103393221139336,0.23747023861922098,768,128.0
Toy2,oracle_current,32,2,0,6,6.417020713801889,1.0695034523003148,1.0633004648788005,0.4782638953780498,0.28397626683602095,768,128.0
Toy2,oracle_current,32,2,1,6,7.3781723203541345,1.229695386725689,1.2204899000837177,0.5141117741874072,0.31680648726899563,768,128.0
Toy2,oracle_current,32,2,2,6,6.139120924468124,1.0231868207446875,1.000795335993469,0.4479482772864811,0.31274757853683605,768,128.0
Toy2,oracle_current,32,4,0,6,7.232735714001542,1.2054559523335904,1.199252964912076,0.2956207286939971,0.20717579005237324,1536,256.0
Toy2,oracle_current,32,4,1,6,7.389424669945097,1.2315707783241827,1.2223652916822114,0.3002705609092109,0.22771734086886278,1536,256.0
Toy2,oracle_current,32,4,2,6,7.773322575752669,1.2955537626254447,1.2731622778742264,0.45250969731325363,0.27341708771955586,1536,256.0
