environment,twin_gap,regime,seed,baseline,regime_config_kind,regime_sigma,regime_rho,regime_change_points,regime_variation_label,theta_path_min,theta_path_max,theta_path_range,theta_path_std,theta_path_n_unique,theta_path_n_changes,theta_path_first_change_step,theta_path_last_change_step,theta_path_values,total_cost,net_reward,task_cost,acc_task_reward,energy_cost,acc_energy_cost,switch_cost,nonsmooth_switch_cost,acc_switch_cost,failure_cost,acc_failure_cost,terminal_cost,violation_steps,failures,failure_events,mean_abs_action,frac_zero_action,action_changes,physical_transitions,observed_transitions,observation_interval,oracle_regret
cartpole,no_gap,piecewise,0,tv_gp_lcb,fixed_jumps,0.005,0.995,10;20,piecewise,0.65,1.25,0.6,0.2460803843372233,3,2,10,20,1;1;1;1;1;1;1;1;1;1;0.65;0.65;0.65;0.65;0.65;0.65;0.65;0.65;0.65;0.65;1.25;1.25;1.25;1.25;1.25;1.25;1.25;1.25;1.25;1.25,740.8343507340538,-740.8343507340538,33.37402839409473,-33.37402839409473,0.022000000000000006,0.022000000000000006,0.44999999999999996,0.0,0.44999999999999996,700.0,700.0,6.9883223399591605,7,7,1,0.7333333333333333,0.26666666666666666,21,30,30,1,740.2768521111193
cartpole,no_gap,piecewise,0,oracle_trend,fixed_jumps,0.005,0.995,10;20,piecewise,0.65,1.25,0.6,0.2460803843372233,3,2,10,20,1;1;1;1;1;1;1;1;1;1;0.65;0.65;0.65;0.65;0.65;0.65;0.65;0.65;0.65;0.65;1.25;1.25;1.25;1.25;1.25;1.25;1.25;1.25;1.25;1.25,0.5574986229345011,-0.5574986229345011,0.48668656082280376,-0.48668656082280376,0.004,0.004,0.060000000000000005,0.0,0.060000000000000005,0.0,0.0,0.006812062111697362,0,0,0,0.13333333333333333,0.8666666666666667,6,30,30,1,0.0
cartpole,no_gap,piecewise,1,kh_dual_control,fixed_jumps,0.005,0.995,10;20,piecewise,0.65,1.25,0.6,0.2460803843372233,3,2,10,20,1;1;1;1;1;1;1;1;1;1;0.65;0.65;0.65;0.65;0.65;0.65;0.65;0.65;0.65;0.65;1.25;1.25;1.25;1.25;1.25;1.25;1.25;1.25;1.25;1.25,2115.0050312122476,-2115.0050312122476,106.43062731183097,-106.43062731183097,0.012,0.012,0.02,0.0,0.02,2000.0,2000.0,8.542403900416703,20,20,1,0.4,0.6,2,30,30,1,2114.4230925284082
cartpole,no_gap,piecewise,1,arcari_dual_smpc,fixed_jumps,0.005,0.995,10;20,piecewise,0.65,1.25,0.6,0.2460803843372233,3,2,10,20,1;1;1;1;1;1;1;1;1;1;0.65;0.65;0.65;0.65;0.65;0.65;0.65;0.65;0.65;0.65;1.25;1.25;1.25;1.25;1.25;1.25;1.25;1.25;1.25;1.25,0.585359909686787,-0.585359909686787,0.46573930387776524,-0.46573930387776524,0.004,0.004,0.05,0.0,0.05,0.0,0.0,0.06562060580902176,0,0,0,0.13333333333333333,0.8666666666666667,5,30,30,1,0.0034212258476409296
cartpole,no_gap,piecewise,1,tv_gp_lcb,fixed_jumps,0.005,0.995,10;20,piecewise,0.65,1.25,0.6,0.2460803843372233,3,2,10,20,1;1;1;1;1;1;1;1;1;1;0.65;0.65;0.65;0.65;0.65;0.65;0.65;0.65;0.65;0.65;1.25;1.25;1.25;1.25;1.25;1.25;1.25;1.25;1.25;1.25,638.480963788962,-638.480963788962,30.830171166502723,-30.830171166502723,0.022000000000000006,0.022000000000000006,0.44999999999999996,0.0,0.44999999999999996,600.0,600.0,7.178792622459203,6,6,1,0.7333333333333333,0.26666666666666666,21,30,30,1,637.8990251051229
cartpole,no_gap,piecewise,1,oracle_trend,fixed_jumps,0.005,0.995,10;20,piecewise,0.65,1.25,0.6,0.2460803843372233,3,2,10,20,1;1;1;1;1;1;1;1;1;1;0.65;0.65;0.65;0.65;0.65;0.65;0.65;0.65;0.65;0.65;1.25;1.25;1.25;1.25;1.25;1.25;1.25;1.25;1.25;1.25,0.581938683839146,-0.581938683839146,0.47264221571057813,-0.47264221571057813,0.004,0.004,0.060000000000000005,0.0,0.060000000000000005,0.0,0.0,0.04529646812856804,0,0,0,0.13333333333333333,0.8666666666666667,6,30,30,1,0.0
cartpole,no_gap,drifting,0,kh_dual_control,ou,0.02,0.995,200;400,nontrivial_ou_drift,0.8983338433867053,1.0559093619384958,0.15757551855179053,0.04400785428201964,30,29,1,29,1;1.00251460442;0.999859934134;1.01266908747;1.01470374438;1.00391683819;1.0111291551;1.03715351023;1.05590936194;1.04155511041;1.01603890544;1.00349322166;1.00430227514;0.957780148272;0.953615414252;0.928929118236;0.91463912555;0.904180750265;0.898333843387;0.907074784897;0.928389678362;0.926177036711;0.953875420938;0.940802150364;0.948128341014;0.966457102942;0.968505063382;0.953792553078;0.935589082788;0.926756620861,2118.729136894409,-2118.729136894409,110.06346159003955,-110.06346159003955,0.012,0.012,0.02,0.0,0.02,2000.0,2000.0,8.633675304369179,20,20,1,0.4,0.6,2,30,30,1,2118.206589184202
cartpole,no_gap,drifting,0,arcari_dual_smpc,ou,0.02,0.995,200;400,nontrivial_ou_drift,0.8983338433867053,1.0559093619384958,0.15757551855179053,0.04400785428201964,30,29,1,29,1;1.00251460442;0.999859934134;1.01266908747;1.01470374438;1.00391683819;1.0111291551;1.03715351023;1.05590936194;1.04155511041;1.01603890544;1.00349322166;1.00430227514;0.957780148272;0.953615414252;0.928929118236;0.91463912555;0.904180750265;0.898333843387;0.907074784897;0.928389678362;0.926177036711;0.953875420938;0.940802150364;0.948128341014;0.966457102942;0.968505063382;0.953792553078;0.935589082788;0.926756620861,0.631621295882969,-0.631621295882969,0.5159738818708945,-0.5159738818708945,0.009000000000000001,0.009000000000000001,0.09999999999999999,0.0,0.09999999999999999,0.0,0.0,0.0066474140120744195,0,0,0,0.3,0.7,10,30,30,1,0.10907358567648606
cartpole,no_gap,drifting,0,tv_gp_lcb,ou,0.02,0.995,200;400,nontrivial_ou_drift,0.8983338433867053,1.0559093619384958,0.15757551855179053,0.04400785428201964,30,29,1,29,1;1.00251460442;0.999859934134;1.01266908747;1.01470374438;1.00391683819;1.0111291551;1.03715351023;1.05590936194;1.04155511041;1.01603890544;1.00349322166;1.00430227514;0.957780148272;0.953615414252;0.928929118236;0.91463912555;0.904180750265;0.898333843387;0.907074784897;0.928389678362;0.926177036711;0.953875420938;0.940802150364;0.948128341014;0.966457102942;0.968505063382;0.953792553078;0.935589082788;0.926756620861,841.4437991291195,-841.4437991291195,34.32783196244583,-34.32783196244583,0.023000000000000007,0.023000000000000007,0.49,0.0,0.49,800.0,800.0,6.602967166673705,8,8,1,0.7666666666666667,0.23333333333333334,22,30,30,1,840.921251418913
cartpole,no_gap,drifting,0,oracle_trend,ou,0.02,0.995,200;400,nontrivial_ou_drift,0.8983338433867053,1.0559093619384958,0.15757551855179053,0.04400785428201964,30,29,1,29,1;1.00251460442;0.999859934134;1.01266908747;1.01470374438;1.00391683819;1.0111291551;1.03715351023;1.05590936194;1.04155511041;1.01603890544;1.00349322166;1.00430227514;0.957780148272;0.953615414252;0.928929118236;0.91463912555;0.904180750265;0.898333843387;0.907074784897;0.928389678362;0.926177036711;0.953875420938;0.940802150364;0.948128341014;0.966457102942;0.968505063382;0.953792553078;0.935589082788;0.926756620861,0.5225477102064829,-0.5225477102064829,0.42827784737543434,-0.42827784737543434,0.003,0.003,0.05,0.0,0.05,0.0,0.0,0.041269862831048484,0,0,0,0.1,0.9,5,30,30,1,0.0
cartpole,no_gap,drifting,1,kh_dual_control,ou,0.02,0.995,200;400,nontrivial_ou_drift,0.9486662963412607,1.0550190716887387,0.106352775347478,0.02850301355919439,30,29,1,29,1;1.00691168384;1.02330948829;1.02980168237;1.00358952933;1.02167869902;1.03049779697;1.01960624328;1.03113057414;1.0382663692;1.04395768728;1.04430634367;1.05501907169;1.04001489459;1.03655662116;1.0267314518;1.03857471879;1.03917628735;1.03313127089;1.01732744529;1.01209696325;1.01219932205;1.00662626733;1.03247441228;1.05244652652;0.997961044313;0.960190974172;0.95689457746;0.948666296341;0.95319582481,2118.8430847323557,-2118.8430847323557,110.14789281789186,-110.14789281789186,0.012,0.012,0.02,0.0,0.02,2000.0,2000.0,8.663191914463974,20,20,1,0.4,0.6,2,30,30,1,2118.30855472312
cartpole,no_gap,drifting,1,arcari_dual_smpc,ou,0.02,0.995,200;400,nontrivial_ou_drift,0.9486662963412607,1.0550190716887387,0.106352775347478,0.02850301355919439,30,29,1,29,1;1.00691168384;1.02330948829;1.02980168237;1.00358952933;1.02167869902;1.03049779697;1.01960624328;1.03113057414;1.0382663692;1.04395768728;1.04430634367;1.05501907169;1.04001489459;1.03655662116;1.0267314518;1.03857471879;1.03917628735;1.03313127089;1.01732744529;1.01209696325;1.01219932205;1.00662626733;1.03247441228;1.05244652652;0.997961044313;0.960190974172;0.95689457746;0.948666296341;0.95319582481,0.6654276088808725,-0.6654276088808725,0.5570732643971363,-0.5570732643971363,0.008,0.008,0.08999999999999998,0.0,0.08999999999999998,0.0,0.0,0.010354344483736127,0,0,0,0.26666666666666666,0.7333333333333333,9,30,30,1,0.13089759964522274
cartpole,no_gap,drifting,1,tv_gp_lcb,ou,0.02,0.995,200;400,nontrivial_ou_drift,0.9486662963412607,1.0550190716887387,0.106352775347478,0.02850301355919439,30,29,1,29,1;1.00691168384;1.02330948829;1.02980168237;1.00358952933;1.02167869902;1.03049779697;1.01960624328;1.03113057414;1.0382663692;1.04395768728;1.04430634367;1.05501907169;1.04001489459;1.03655662116;1.0267314518;1.03857471879;1.03917628735;1.03313127089;1.01732744529;1.01209696325;1.01219932205;1.00662626733;1.03247441228;1.05244652652;0.997961044313;0.960190974172;0.95689457746;0.948666296341;0.95319582481,743.8797351789345,-743.8797351789345,35.695132859144074,-35.695132859144074,0.022000000000000006,0.022000000000000006,0.49,0.0,0.49,700.0,700.0,7.672602319790447,7,7,1,0.7333333333333333,0.26666666666666666,22,30,30,1,743.3452051696989
cartpole,no_gap,drifting,1,oracle_trend,ou,0.02,0.995,200;400,nontrivial_ou_drift,0.9486662963412607,1.0550190716887387,0.106352775347478,0.02850301355919439,30,29,1,29,1;1.00691168384;1.02330948829;1.02980168237;1.00358952933;1.02167869902;1.03049779697;1.01960624328;1.03113057414;1.0382663692;1.04395768728;1.04430634367;1.05501907169;1.04001489459;1.03655662116;1.0267314518;1.03857471879;1.03917628735;1.03313127089;1.01732744529;1.01209696325;1.01219932205;1.00662626733;1.03247441228;1.05244652652;0.997961044313;0.960190974172;0.95689457746;0.948666296341;0.95319582481,0.5345300092356498,-0.5345300092356498,0.45777597878406334,-0.45777597878406334,0.003,0.003,0.060000000000000005,0.0,0.060000000000000005,0.0,0.0,0.013754030451586146,0,0,0,0.1,0.9,6,30,30,1,0.0
cartpole,gap,static,0,kh_dual_control,static,0.005,0.995,200;400,static,1.0,1.0,0.0,0.0,1,0,-1,-1,1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1,2098.6802135936728,-2098.6802135936728,91.56059278539287,-91.56059278539287,0.012,0.012,0.02,0.0,0.02,2000.0,2000.0,7.087620808280024,20,20,1,0.4,0.6,2,30,30,1,2097.775390250867
cartpole,gap,static,0,arcari_dual_smpc,static,0.005,0.995,200;400,static,1.0,1.0,0.0,0.0,1,0,-1,-1,1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1,0.8384676264594724,-0.8384676264594724,0.6941346406423482,-0.6941346406423482,0.012,0.012,0.12,0.0,0.12,0.0,0.0,0.012332985817124014,0,0,0,0.4,0.6,12,30,30,1,-0.06635571634620319
cartpole,gap,static,0,tv_gp_lcb,static,0.005,0.995,200;400,static,1.0,1.0,0.0,0.0,1,0,-1,-1,1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1,534.2508867833785,-534.2508867833785,26.979643211023085,-26.979643211023085,0.022000000000000006,0.022000000000000006,0.47000000000000003,0.0,0.47000000000000003,500.0,500.0,6.779243572355522,5,5,1,0.7333333333333333,0.26666666666666666,23,30,30,1,533.3460634405728
