environment,twin_gap,regime,baseline,mean_total_cost,stderr_total_cost,mean_net_reward,mean_oracle_regret,mean_task_cost,mean_energy_cost,mean_switch_cost,mean_terminal_cost,mean_abs_action,mean_frac_zero_action,mean_action_changes,mean_b_path_range,min_b_path_n_changes,min_b_path_first_change_step,n
scalar,gap,drifting,arcari_dual_smpc,14.138638057772853,0.2755978606396828,-14.138638057772853,6.867438151080946,13.51479299576652,0.3359999999999999,0.0,0.2878450620063344,0.11199999999999999,0.8133333333333334,15.0,0.3756004157747323,49,1,3
scalar,gap,drifting,kh_dual_control,12.08468545125347,0.8484488827726039,-12.08468545125347,4.813485544561562,11.506212483476132,0.43199999999999994,0.0,0.14647296777733831,0.144,0.7600000000000001,20.0,0.3756004157747323,49,1,3
scalar,gap,drifting,oracle_trend,7.271199906691908,0.5350450425771771,-7.271199906691908,0.0,6.755996837087573,0.3359999999999999,0.0,0.17920306960433485,0.11199999999999997,0.8133333333333334,17.0,0.3756004157747323,49,1,3
scalar,gap,drifting,tv_gp_lcb,40946.05129517297,28914.37414250568,-40946.05129517297,40938.78009526627,38497.04548802252,28.44,0.0,2420.5658071504367,2.12,0.08,42.0,0.3756004157747323,49,1,3
scalar,gap,piecewise,arcari_dual_smpc,23.295597597532975,7.067020165267889,-23.295597597532975,17.240318264842205,22.72807922334371,0.3839999999999999,0.0,0.18351837418926376,0.12799999999999997,0.7866666666666667,16.0,1.0000000000000002,2,17,3
scalar,gap,piecewise,kh_dual_control,10.48335598692452,1.370554103779822,-10.48335598692452,4.428076654233753,9.918514823069385,0.3839999999999999,0.0,0.18084116385513627,0.12799999999999997,0.7866666666666666,16.333333333333332,1.0000000000000002,2,17,3
scalar,gap,piecewise,oracle_trend,6.055279332690767,0.9356937683997355,-6.055279332690767,0.0,5.402781007561269,0.3959999999999999,0.0,0.2564983251294976,0.13199999999999998,0.7799999999999999,18.333333333333332,1.0000000000000002,2,17,3
scalar,gap,piecewise,tv_gp_lcb,54780.249405182,25088.60099532373,-54780.249405182,54774.19412584932,51780.94604783709,30.288,0.0,2969.0153573449165,2.2239999999999998,0.08666666666666667,41.0,1.0000000000000002,2,17,3
scalar,gap,static,arcari_dual_smpc,22.934259285447485,5.272053146182178,-22.934259285447485,16.07265682588893,22.537567282333203,0.34799999999999986,0.0,0.04869200311427866,0.11599999999999998,0.8066666666666666,15.0,0.0,0,-1,3
scalar,gap,static,kh_dual_control,12.805523910767953,1.7546591164145007,-12.805523910767953,5.943921451209401,11.864571441078047,0.3479999999999999,0.0,0.5929524696899056,0.11599999999999995,0.8066666666666666,16.666666666666668,0.0,0,-1,3
scalar,gap,static,oracle_trend,6.861602459558552,1.2432568983247112,-6.861602459558552,0.0,6.336834416170881,0.3479999999999999,0.0,0.1767680433876688,0.11599999999999998,0.8066666666666666,15.666666666666666,0.0,0,-1,3
scalar,gap,static,tv_gp_lcb,76588.8885999787,25280.65774465079,-76588.8885999787,76582.02699751915,72990.0640329084,30.648000000000007,0.0,3568.176567070311,2.2479999999999998,0.07333333333333333,40.666666666666664,0.0,0,-1,3
scalar,no_gap,drifting,arcari_dual_smpc,14.997741302582847,1.7182504610233678,-14.997741302582847,7.557768298513724,14.551790627930172,0.3239999999999999,0.0,0.12195067465267291,0.10799999999999998,0.82,15.333333333333334,0.3756004157747323,49,1,3
scalar,no_gap,drifting,kh_dual_control,12.624459698481987,1.7146051084294383,-12.624459698481987,5.184486694412863,12.06080299641198,0.41999999999999976,0.0,0.14365670207000752,0.13999999999999996,0.7666666666666666,20.333333333333332,0.3756004157747323,49,1,3
scalar,no_gap,drifting,oracle_trend,7.4399730040691265,0.699782684730634,-7.4399730040691265,0.0,6.8436747165013605,0.4199999999999999,0.0,0.17629828756776492,0.13999999999999999,0.7666666666666666,20.333333333333332,0.3756004157747323,49,1,3
scalar,no_gap,drifting,tv_gp_lcb,8907.813491367191,2331.056234539917,-8907.813491367191,8900.373518363123,8749.033109336278,27.708000000000002,0.0,131.0723820309146,2.108,0.05333333333333334,42.0,0.3756004157747323,49,1,3
scalar,no_gap,piecewise,arcari_dual_smpc,24.745440967763752,6.9465638172976565,-24.745440967763752,19.348305990085425,24.128287144941947,0.3719999999999999,0.0,0.24515382282180367,0.124,0.7933333333333333,15.666666666666666,1.0000000000000002,2,17,3
scalar,no_gap,piecewise,kh_dual_control,12.253863939404532,1.109484336655916,-12.253863939404532,6.856728961726205,11.505168890354378,0.3839999999999999,0.0,0.364695049050152,0.12799999999999997,0.7866666666666667,18.0,1.0000000000000002,2,17,3
scalar,no_gap,piecewise,oracle_trend,5.397134977678327,0.7790446411644436,-5.397134977678327,0.0,4.879863607313222,0.3959999999999999,0.0,0.12127137036510556,0.13199999999999998,0.7799999999999999,18.0,1.0000000000000002,2,17,3
scalar,no_gap,piecewise,tv_gp_lcb,8219.626758002818,2757.0490206207382,-8219.626758002818,8214.22962302514,7912.416560030531,29.316000000000003,0.0,277.89419797228794,2.172,0.06666666666666667,40.333333333333336,1.0000000000000002,2,17,3
scalar,no_gap,static,arcari_dual_smpc,22.16796194328526,5.52941181389279,-22.16796194328526,16.043984101093603,21.710871570773893,0.25199999999999995,0.0,0.20509037251136808,0.08399999999999998,0.86,11.0,0.0,0,-1,3
scalar,no_gap,static,kh_dual_control,9.88699221550627,0.6736754895959786,-9.88699221550627,3.7630143733146113,9.405901842994902,0.27599999999999997,0.0,0.205090372511368,0.09199999999999997,0.8466666666666667,13.0,0.0,0,-1,3
scalar,no_gap,static,oracle_trend,6.123977842191658,0.513176779168025,-6.123977842191658,0.0,5.710578102304457,0.23999999999999996,0.0,0.17339973988720048,0.07999999999999999,0.8666666666666667,11.333333333333334,0.0,0,-1,3
scalar,no_gap,static,tv_gp_lcb,10774.750132098176,2128.437469829384,-10774.750132098176,10768.626154255984,10331.514225717066,30.156000000000006,0.0,413.0799063811105,2.212,0.060000000000000005,39.333333333333336,0.0,0,-1,3
