environment,twin_gap,regime,seed,baseline,regime_config_kind,regime_sigma,regime_rho,regime_change_points,regime_variation_label,b_path_min,b_path_max,b_path_range,b_path_std,b_path_n_unique,b_path_n_changes,b_path_first_change_step,b_path_last_change_step,b_path_values,total_cost,net_reward,state_cost,task_cost,acc_task_reward,energy_cost,acc_energy_cost,switch_cost,nonsmooth_switch_cost,acc_switch_cost,failure_cost,acc_failure_cost,terminal_cost,mean_abs_action,frac_zero_action,action_changes,physical_transitions,observed_transitions,observation_interval,oracle_regret
scalar,no_gap,static,2,tv_gp_lcb,static,0.015,0.995,100;200,static,2.0,2.0,0.0,0.0,1,0,-1,-1,2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2,6611.840321160087,-6611.840321160087,5999.848305270788,5999.848305270788,-5999.848305270788,28.908,28.908,0.0,0.0,0.0,0.0,0.0,583.0840158892989,2.1719999999999997,0.04,40,50,50,1,6606.742139505059
scalar,no_gap,static,2,oracle_trend,static,0.015,0.995,100;200,static,2.0,2.0,0.0,0.0,1,0,-1,-1,2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2,5.098181655028164,-5.098181655028164,4.896533634233855,4.896533634233855,-4.896533634233855,0.17999999999999997,0.17999999999999997,0.0,0.0,0.0,0.0,0.0,0.021648020794309393,0.05999999999999999,0.9,10,50,50,1,0.0
scalar,no_gap,piecewise,0,kh_dual_control,fixed_jumps,0.015,0.995,17;33,piecewise,1.2,2.2,1.0000000000000002,0.4278504411590574,3,2,17,33,2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;2.2;2.2;2.2;2.2;2.2;2.2;2.2;2.2;2.2;2.2;2.2;2.2;2.2;2.2;2.2;2.2;2.2,10.99667203100692,-10.99667203100692,10.52451719777498,10.52451719777498,-10.52451719777498,0.43199999999999994,0.43199999999999994,0.0,0.0,0.0,0.0,0.0,0.0401548332319375,0.144,0.76,20,50,50,1,4.978079282454612
scalar,no_gap,piecewise,0,arcari_dual_smpc,fixed_jumps,0.015,0.995,17;33,piecewise,1.2,2.2,1.0000000000000002,0.4278504411590574,3,2,17,33,2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;2.2;2.2;2.2;2.2;2.2;2.2;2.2;2.2;2.2;2.2;2.2;2.2;2.2;2.2;2.2;2.2;2.2,21.935771869305533,-21.935771869305533,21.391617036073598,21.391617036073598,-21.391617036073598,0.5039999999999999,0.5039999999999999,0.0,0.0,0.0,0.0,0.0,0.04015483323193786,0.16799999999999998,0.72,21,50,50,1,15.917179120753225
scalar,no_gap,piecewise,0,tv_gp_lcb,fixed_jumps,0.015,0.995,17;33,piecewise,1.2,2.2,1.0000000000000002,0.4278504411590574,3,2,17,33,2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;2.2;2.2;2.2;2.2;2.2;2.2;2.2;2.2;2.2;2.2;2.2;2.2;2.2;2.2;2.2;2.2;2.2,13720.412665563661,-13720.412665563661,13460.164909453837,13460.164909453837,-13460.164909453837,29.196000000000005,29.196000000000005,0.0,0.0,0.0,0.0,0.0,231.05175610982548,2.148,0.08,39,50,50,1,13714.394072815108
scalar,no_gap,piecewise,0,oracle_trend,fixed_jumps,0.015,0.995,17;33,piecewise,1.2,2.2,1.0000000000000002,0.4278504411590574,3,2,17,33,2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;2.2;2.2;2.2;2.2;2.2;2.2;2.2;2.2;2.2;2.2;2.2;2.2;2.2;2.2;2.2;2.2;2.2,6.018592748552308,-6.018592748552308,5.474437915320372,5.474437915320372,-5.474437915320372,0.5039999999999999,0.5039999999999999,0.0,0.0,0.0,0.0,0.0,0.04015483323193772,0.16799999999999998,0.72,25,50,50,1,0.0
scalar,no_gap,piecewise,1,kh_dual_control,fixed_jumps,0.015,0.995,17;33,piecewise,1.2,2.2,1.0000000000000002,0.4278504411590574,3,2,17,33,2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;2.2;2.2;2.2;2.2;2.2;2.2;2.2;2.2;2.2;2.2;2.2;2.2;2.2;2.2;2.2;2.2;2.2,11.29896128010564,-11.29896128010564,10.636950023036572,10.636950023036572,-10.636950023036572,0.3599999999999999,0.3599999999999999,0.0,0.0,0.0,0.0,0.0,0.30201125706906956,0.11999999999999998,0.8,15,50,50,1,4.975189300971359
scalar,no_gap,piecewise,1,arcari_dual_smpc,fixed_jumps,0.015,0.995,17;33,piecewise,1.2,2.2,1.0000000000000002,0.4278504411590574,3,2,17,33,2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;2.2;2.2;2.2;2.2;2.2;2.2;2.2;2.2;2.2;2.2;2.2;2.2;2.2;2.2;2.2;2.2;2.2,14.367085529928929,-14.367085529928929,13.705074272859857,13.705074272859857,-13.705074272859857,0.3599999999999999,0.3599999999999999,0.0,0.0,0.0,0.0,0.0,0.30201125706906956,0.11999999999999998,0.8,15,50,50,1,8.043313550794647
scalar,no_gap,piecewise,1,tv_gp_lcb,fixed_jumps,0.015,0.995,17;33,piecewise,1.2,2.2,1.0000000000000002,0.4278504411590574,3,2,17,33,2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;2.2;2.2;2.2;2.2;2.2;2.2;2.2;2.2;2.2;2.2;2.2;2.2;2.2;2.2;2.2;2.2;2.2,5137.610967701229,-5137.610967701229,5101.020369462176,5101.020369462176,-5101.020369462176,28.692,28.692,0.0,0.0,0.0,0.0,0.0,7.898598239054099,2.124,0.08,39,50,50,1,5131.287195722095
scalar,no_gap,piecewise,1,oracle_trend,fixed_jumps,0.015,0.995,17;33,piecewise,1.2,2.2,1.0000000000000002,0.4278504411590574,3,2,17,33,2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;2.2;2.2;2.2;2.2;2.2;2.2;2.2;2.2;2.2;2.2;2.2;2.2;2.2;2.2;2.2;2.2;2.2,6.323771979134281,-6.323771979134281,5.661760722065213,5.661760722065213,-5.661760722065213,0.3599999999999999,0.3599999999999999,0.0,0.0,0.0,0.0,0.0,0.3020112570690698,0.11999999999999997,0.8,15,50,50,1,0.0
scalar,no_gap,piecewise,2,kh_dual_control,fixed_jumps,0.015,0.995,17;33,piecewise,1.2,2.2,1.0000000000000002,0.4278504411590574,3,2,17,33,2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;2.2;2.2;2.2;2.2;2.2;2.2;2.2;2.2;2.2;2.2;2.2;2.2;2.2;2.2;2.2;2.2;2.2,14.465958507101035,-14.465958507101035,13.354039450251584,13.354039450251584,-13.354039450251584,0.35999999999999993,0.35999999999999993,0.0,0.0,0.0,0.0,0.0,0.751919056849449,0.11999999999999997,0.8,19,50,50,1,10.616918301752646
scalar,no_gap,piecewise,2,arcari_dual_smpc,fixed_jumps,0.015,0.995,17;33,piecewise,1.2,2.2,1.0000000000000002,0.4278504411590574,3,2,17,33,2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;2.2;2.2;2.2;2.2;2.2;2.2;2.2;2.2;2.2;2.2;2.2;2.2;2.2;2.2;2.2;2.2;2.2,37.93346550405679,-37.93346550405679,37.288170125892385,37.288170125892385,-37.288170125892385,0.25199999999999995,0.25199999999999995,0.0,0.0,0.0,0.0,0.0,0.3932953781644037,0.08399999999999999,0.86,11,50,50,1,34.0844252987084
scalar,no_gap,piecewise,2,tv_gp_lcb,fixed_jumps,0.015,0.995,17;33,piecewise,1.2,2.2,1.0000000000000002,0.4278504411590574,3,2,17,33,2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;1.2;2.2;2.2;2.2;2.2;2.2;2.2;2.2;2.2;2.2;2.2;2.2;2.2;2.2;2.2;2.2;2.2;2.2,5800.856640743565,-5800.856640743565,5176.064401175582,5176.064401175582,-5176.064401175582,30.060000000000002,30.060000000000002,0.0,0.0,0.0,0.0,0.0,594.7322395679842,2.2439999999999998,0.04,43,50,50,1,5797.007600538216
