environment,twin_gap,regime,seed,baseline,regime_config_kind,regime_sigma,regime_rho,regime_change_points,regime_variation_label,theta_path_min,theta_path_max,theta_path_range,theta_path_std,theta_path_n_unique,theta_path_n_changes,theta_path_first_change_step,theta_path_last_change_step,theta_path_values,total_cost,net_reward,task_cost,acc_task_reward,energy_cost,acc_energy_cost,switch_cost,nonsmooth_switch_cost,acc_switch_cost,failure_cost,acc_failure_cost,terminal_cost,violation_steps,failures,failure_events,mean_abs_action,frac_zero_action,action_changes,physical_transitions,observed_transitions,n_initial_calibration,initial_calibration_policy,observation_interval,oracle_regret
cartpole,no_gap,piecewise,0,tv_gp_lcb,fixed_jumps,0.005,0.995,17;33,piecewise,0.65,1.25,0.6,0.2443788043182141,3,2,17,33,1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0.65;0.65;0.65;0.65;0.65;0.65;0.65;0.65;0.65;0.65;0.65;0.65;0.65;0.65;0.65;0.65;1.25;1.25;1.25;1.25;1.25;1.25;1.25;1.25;1.25;1.25;1.25;1.25;1.25;1.25;1.25;1.25;1.25,8.2198686141287,-8.2198686141287,6.128412360946191,-6.128412360946191,0.035444444444444445,0.035444444444444445,0.7488888888888889,0.0,0.7488888888888889,0.0,0.0,1.3071229198491765,0,0,0,0.7533333333333334,0.14,40,50,50,20,small_random,1,7.563085960913996
cartpole,no_gap,piecewise,0,oracle_trend,fixed_jumps,0.005,0.995,17;33,piecewise,0.65,1.25,0.6,0.2443788043182141,3,2,17,33,1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0.65;0.65;0.65;0.65;0.65;0.65;0.65;0.65;0.65;0.65;0.65;0.65;0.65;0.65;0.65;0.65;1.25;1.25;1.25;1.25;1.25;1.25;1.25;1.25;1.25;1.25;1.25;1.25;1.25;1.25;1.25;1.25;1.25,0.6567826532147037,-0.6567826532147037,0.5776209002656942,-0.5776209002656942,0.0014444444444444442,0.0014444444444444442,0.016666666666666663,0.0,0.016666666666666663,0.0,0.0,0.06105064183789808,0,0,0,0.059999999999999984,0.86,9,50,50,0,small_random,1,0.0
cartpole,no_gap,piecewise,1,kh_dual_control,fixed_jumps,0.005,0.995,17;33,piecewise,0.65,1.25,0.6,0.2443788043182141,3,2,17,33,1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0.65;0.65;0.65;0.65;0.65;0.65;0.65;0.65;0.65;0.65;0.65;0.65;0.65;0.65;0.65;0.65;1.25;1.25;1.25;1.25;1.25;1.25;1.25;1.25;1.25;1.25;1.25;1.25;1.25;1.25;1.25;1.25;1.25,1.031261701636364,-1.031261701636364,0.8903066599498649,-0.8903066599498649,0.00021379133664441128,0.00021379133664441128,0.0032932541279159957,0.0,0.0032932541279159957,0.0,0.0,0.13744799622193912,0,0,0,0.046597453319817864,0.0,50,50,50,20,small_random,1,0.09972105993643998
cartpole,no_gap,piecewise,1,arcari_dual_smpc,fixed_jumps,0.005,0.995,17;33,piecewise,0.65,1.25,0.6,0.2443788043182141,3,2,17,33,1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0.65;0.65;0.65;0.65;0.65;0.65;0.65;0.65;0.65;0.65;0.65;0.65;0.65;0.65;0.65;0.65;1.25;1.25;1.25;1.25;1.25;1.25;1.25;1.25;1.25;1.25;1.25;1.25;1.25;1.25;1.25;1.25;1.25,0.9346887450339241,-0.9346887450339241,0.7035946502364376,-0.7035946502364376,0.0010063733008136772,0.0010063733008136772,0.011171319920919034,0.0,0.011171319920919034,0.0,0.0,0.21891640157575362,0,0,0,0.058091482867980666,0.0,50,50,50,20,small_random,1,0.003148103333999952
cartpole,no_gap,piecewise,1,tv_gp_lcb,fixed_jumps,0.005,0.995,17;33,piecewise,0.65,1.25,0.6,0.2443788043182141,3,2,17,33,1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0.65;0.65;0.65;0.65;0.65;0.65;0.65;0.65;0.65;0.65;0.65;0.65;0.65;0.65;0.65;0.65;1.25;1.25;1.25;1.25;1.25;1.25;1.25;1.25;1.25;1.25;1.25;1.25;1.25;1.25;1.25;1.25;1.25,639.1979896876143,-639.1979896876143,31.861022697437114,-31.861022697437114,0.03744444444444445,0.03744444444444445,0.7944444444444445,0.0,0.7944444444444445,600.0,600.0,6.505078101288287,6,6,1,0.7933333333333334,0.1,39,50,50,20,small_random,1,638.2664490459143
cartpole,no_gap,piecewise,1,oracle_trend,fixed_jumps,0.005,0.995,17;33,piecewise,0.65,1.25,0.6,0.2443788043182141,3,2,17,33,1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0.65;0.65;0.65;0.65;0.65;0.65;0.65;0.65;0.65;0.65;0.65;0.65;0.65;0.65;0.65;0.65;1.25;1.25;1.25;1.25;1.25;1.25;1.25;1.25;1.25;1.25;1.25;1.25;1.25;1.25;1.25;1.25;1.25,0.9315406416999241,-0.9315406416999241,0.7046639930248928,-0.7046639930248928,0.001222222222222222,0.001222222222222222,0.013333333333333332,0.0,0.013333333333333332,0.0,0.0,0.21232109311947547,0,0,0,0.04666666666666666,0.9,6,50,50,0,small_random,1,0.0
cartpole,no_gap,drifting,0,kh_dual_control,ou,0.02,0.995,200;400,nontrivial_ou_drift,0.8983338433867053,1.111221562693478,0.21288771930677275,0.05052827340220674,50,49,1,49,1;1.00251460442;0.999859934134;1.01266908747;1.01470374438;1.00391683819;1.0111291551;1.03715351023;1.05590936194;1.04155511041;1.01603890544;1.00349322166;1.00430227514;0.957780148272;0.953615414252;0.928929118236;0.91463912555;0.904180750265;0.898333843387;0.907074784897;0.928389678362;0.926177036711;0.953875420938;0.940802150364;0.948128341014;0.966457102942;0.968505063382;0.953792553078;0.935589082788;0.926756620861;0.931526740226;0.911676742854;0.907934847642;0.905210673206;0.916501531533;0.921212206326;0.928713599475;0.915993459289;0.913821219319;0.929931622624;0.960150587415;0.935168523836;0.965771156711;0.992859809403;1.00852173837;1.01376824229;1.00742094478;1.03654425373;1.07556669879;1.11122156269,1.0518026925812036,-1.0518026925812036,0.9647133022295585,-0.9647133022295585,0.00013352901944174616,0.00013352901944174616,0.0008080493249812131,0.0,0.0008080493249812131,0.0,0.0,0.08614781200722241,0,0,0,0.03557309316584106,0.0,50,50,50,20,small_random,1,0.1400232717025356
cartpole,no_gap,drifting,0,arcari_dual_smpc,ou,0.02,0.995,200;400,nontrivial_ou_drift,0.8983338433867053,1.111221562693478,0.21288771930677275,0.05052827340220674,50,49,1,49,1;1.00251460442;0.999859934134;1.01266908747;1.01470374438;1.00391683819;1.0111291551;1.03715351023;1.05590936194;1.04155511041;1.01603890544;1.00349322166;1.00430227514;0.957780148272;0.953615414252;0.928929118236;0.91463912555;0.904180750265;0.898333843387;0.907074784897;0.928389678362;0.926177036711;0.953875420938;0.940802150364;0.948128341014;0.966457102942;0.968505063382;0.953792553078;0.935589082788;0.926756620861;0.931526740226;0.911676742854;0.907934847642;0.905210673206;0.916501531533;0.921212206326;0.928713599475;0.915993459289;0.913821219319;0.929931622624;0.960150587415;0.935168523836;0.965771156711;0.992859809403;1.00852173837;1.01376824229;1.00742094478;1.03654425373;1.07556669879;1.11122156269,0.8792365888472325,-0.8792365888472325,0.6596109684804112,-0.6596109684804112,0.000984954266413714,0.000984954266413714,0.010212160694893328,0.0,0.010212160694893328,0.0,0.0,0.2084285054055144,0,0,0,0.05780145564212187,0.0,50,50,50,20,small_random,1,-0.03254283203143549
cartpole,no_gap,drifting,0,tv_gp_lcb,ou,0.02,0.995,200;400,nontrivial_ou_drift,0.8983338433867053,1.111221562693478,0.21288771930677275,0.05052827340220674,50,49,1,49,1;1.00251460442;0.999859934134;1.01266908747;1.01470374438;1.00391683819;1.0111291551;1.03715351023;1.05590936194;1.04155511041;1.01603890544;1.00349322166;1.00430227514;0.957780148272;0.953615414252;0.928929118236;0.91463912555;0.904180750265;0.898333843387;0.907074784897;0.928389678362;0.926177036711;0.953875420938;0.940802150364;0.948128341014;0.966457102942;0.968505063382;0.953792553078;0.935589082788;0.926756620861;0.931526740226;0.911676742854;0.907934847642;0.905210673206;0.916501531533;0.921212206326;0.928713599475;0.915993459289;0.913821219319;0.929931622624;0.960150587415;0.935168523836;0.965771156711;0.992859809403;1.00852173837;1.01376824229;1.00742094478;1.03654425373;1.07556669879;1.11122156269,2082.1115464021,-2082.1115464021,74.398551946835,-74.398551946835,0.037333333333333336,0.037333333333333336,0.69,0.0,0.69,2000.0,2000.0,6.9856611219316616,20,20,1,0.7733333333333333,0.16,38,50,50,20,small_random,1,2081.1997669812213
cartpole,no_gap,drifting,0,oracle_trend,ou,0.02,0.995,200;400,nontrivial_ou_drift,0.8983338433867053,1.111221562693478,0.21288771930677275,0.05052827340220674,50,49,1,49,1;1.00251460442;0.999859934134;1.01266908747;1.01470374438;1.00391683819;1.0111291551;1.03715351023;1.05590936194;1.04155511041;1.01603890544;1.00349322166;1.00430227514;0.957780148272;0.953615414252;0.928929118236;0.91463912555;0.904180750265;0.898333843387;0.907074784897;0.928389678362;0.926177036711;0.953875420938;0.940802150364;0.948128341014;0.966457102942;0.968505063382;0.953792553078;0.935589082788;0.926756620861;0.931526740226;0.911676742854;0.907934847642;0.905210673206;0.916501531533;0.921212206326;0.928713599475;0.915993459289;0.913821219319;0.929931622624;0.960150587415;0.935168523836;0.965771156711;0.992859809403;1.00852173837;1.01376824229;1.00742094478;1.03654425373;1.07556669879;1.11122156269,0.911779420878668,-0.911779420878668,0.6791744002862301,-0.6791744002862301,0.0015555555555555553,0.0015555555555555553,0.019999999999999997,0.0,0.019999999999999997,0.0,0.0,0.21104946503688218,0,0,0,0.06666666666666667,0.84,12,50,50,0,small_random,1,0.0
