environment,twin_gap,regime,baseline,n,mean_net_reward,stderr_net_reward,mean_total_cost,stderr_total_cost,mean_acc_task_reward,stderr_acc_task_reward,mean_acc_energy_cost,stderr_acc_energy_cost,mean_acc_switch_cost,stderr_acc_switch_cost,mean_acc_failure_cost,stderr_acc_failure_cost,mean_terminal_cost,stderr_terminal_cost,mean_mean_abs_action,stderr_mean_abs_action,mean_frac_zero_action,stderr_frac_zero_action,mean_action_changes,stderr_action_changes
scalar,gap,drifting,arcari_dual_smpc,3,-14.138638057772853,0.2755978606396828,14.138638057772853,0.2755978606396828,-13.51479299576652,0.2158484227710971,0.3359999999999999,0.07299315036357863,0.0,0.0,0.0,0.0,0.2878450620063344,0.16190090477704752,0.11199999999999999,0.02433105012119288,0.8133333333333334,0.04055175020198814,15.0,2.0816659994661326
scalar,gap,drifting,kh_dual_control,3,-12.08468545125347,0.8484488827726039,12.08468545125347,0.8484488827726039,-11.506212483476132,0.9212744369668757,0.43199999999999994,0.02078460969082653,0.0,0.0,0.0,0.0,0.14647296777733831,0.0918107067017683,0.144,0.0069282032302755,0.7600000000000001,0.011547005383792526,20.0,0.5773502691896258
scalar,gap,drifting,tv_gp_lcb,3,-40946.05129517297,28914.37414250568,40946.05129517297,28914.37414250568,-38497.04548802252,27644.65444329848,28.44,1.4914315270906682,0.0,0.0,0.0,0.0,2420.5658071504367,1356.7120346759045,2.12,0.09707728879609268,0.08,0.03055050463303894,42.0,1.0
scalar,gap,piecewise,arcari_dual_smpc,3,-23.295597597532975,7.067020165267889,23.295597597532975,7.067020165267889,-22.72807922334371,7.092241338655504,0.3839999999999999,0.048,0.0,0.0,0.0,0.0,0.18351837418926376,0.14562463539115347,0.12799999999999997,0.016,0.7866666666666667,0.026666666666666655,16.0,2.0816659994661326
scalar,gap,piecewise,kh_dual_control,3,-10.48335598692452,1.370554103779822,10.48335598692452,1.370554103779822,-9.918514823069385,1.4372596503807202,0.3839999999999999,0.07868926229162398,0.0,0.0,0.0,0.0,0.18084116385513627,0.14636514504312703,0.12799999999999997,0.026229754097208,0.7866666666666666,0.04371625682868001,16.333333333333332,1.3333333333333335
scalar,gap,piecewise,tv_gp_lcb,3,-54780.249405182,25088.60099532373,54780.249405182,25088.60099532373,-51780.94604783709,23093.65613721813,30.288,2.002490449415429,0.0,0.0,0.0,0.0,2969.0153573449165,2001.67083679514,2.2239999999999998,0.12322337440599487,0.08666666666666667,0.02905932629027116,41.0,2.3094010767585034
scalar,gap,static,arcari_dual_smpc,3,-22.934259285447485,5.272053146182178,22.934259285447485,5.272053146182178,-22.537567282333203,5.390189583486851,0.34799999999999986,0.1459863007271572,0.0,0.0,0.0,0.0,0.04869200311427866,0.012089894218020954,0.11599999999999998,0.04866210024238576,0.8066666666666666,0.08110350040397624,15.0,6.658328118479393
scalar,gap,static,kh_dual_control,3,-12.805523910767953,1.7546591164145007,12.805523910767953,1.7546591164145007,-11.864571441078047,1.7996107686936305,0.3479999999999999,0.03174901573277507,0.0,0.0,0.0,0.0,0.5929524696899056,0.1639463469162957,0.11599999999999995,0.010583005244258356,0.8066666666666666,0.01763834207376392,16.666666666666668,1.3333333333333335
scalar,gap,static,tv_gp_lcb,3,-76588.8885999787,25280.65774465079,76588.8885999787,25280.65774465079,-72990.0640329084,23702.985937511337,30.648000000000007,1.4353926292133448,0.0,0.0,0.0,0.0,3568.176567070311,1624.3548285154975,2.2479999999999998,0.09226050075736632,0.07333333333333333,0.03527668414752788,40.666666666666664,0.6666666666666667
scalar,no_gap,drifting,arcari_dual_smpc,3,-14.997741302582847,1.7182504610233678,14.997741302582847,1.7182504610233678,-14.551790627930172,1.7296086572268958,0.3239999999999999,0.09524704719832525,0.0,0.0,0.0,0.0,0.12195067465267291,0.10793576032582394,0.10799999999999998,0.03174901573277508,0.82,0.05291502622129182,15.333333333333334,3.8441875315569325
