stress,level,environment,twin_gap,regime,baseline,mean_total_cost,stderr_total_cost,mean_oracle_regret,n
nondiff_switch,k=0.0,scalar,gap,drifting,arcari_dual_smpc,23.802527472441966,1.796502506002538,15.539013403943269,2
nondiff_switch,k=0.0,scalar,gap,drifting,kh_dual_control,23.802527472441966,1.796502506002538,15.539013403943269,2
nondiff_switch,k=0.0,scalar,gap,drifting,oracle_trend,8.263514068498695,0.5233207394634629,0.0,2
nondiff_switch,k=0.0,scalar,gap,drifting,tv_gp_lcb,10092.2886510885,2174.618148206646,10084.025137020002,2
nondiff_switch,k=0.0,scalar,gap,piecewise,arcari_dual_smpc,39.94851998984874,16.709574668597906,32.94771655541042,2
nondiff_switch,k=0.0,scalar,gap,piecewise,kh_dual_control,39.94851998984874,16.709574668597906,32.94771655541042,2
nondiff_switch,k=0.0,scalar,gap,piecewise,oracle_trend,7.000803434438321,1.084681690400227,0.0,2
nondiff_switch,k=0.0,scalar,gap,piecewise,tv_gp_lcb,14439.48219026405,1161.4553343456964,14432.481386829613,2
nondiff_switch,k=0.0,scalar,gap,static,arcari_dual_smpc,39.94851998984874,16.709574668597906,35.15282846487493,2
nondiff_switch,k=0.0,scalar,gap,static,kh_dual_control,39.94851998984874,16.709574668597906,35.15282846487493,2
nondiff_switch,k=0.0,scalar,gap,static,oracle_trend,4.795691524973817,0.4648285509794192,0.0,2
nondiff_switch,k=0.0,scalar,gap,static,tv_gp_lcb,13034.615276847526,6143.241706513007,13029.819585322552,2
nondiff_switch,k=0.0,scalar,no_gap,drifting,arcari_dual_smpc,25.352517468367505,0.7423010469805327,15.078048376483835,2
nondiff_switch,k=0.0,scalar,no_gap,drifting,kh_dual_control,25.218769987896213,0.8760485274518253,14.944300896012543,2
nondiff_switch,k=0.0,scalar,no_gap,drifting,oracle_trend,10.27446909188367,1.3948634703728835,0.0,2
nondiff_switch,k=0.0,scalar,no_gap,drifting,tv_gp_lcb,8566.451894678697,2165.3194599075987,8556.177425586815,2
nondiff_switch,k=0.0,scalar,no_gap,piecewise,arcari_dual_smpc,39.94851998984874,16.709574668597906,34.226642833817934,2
nondiff_switch,k=0.0,scalar,no_gap,piecewise,kh_dual_control,39.94851998984874,16.709574668597906,34.226642833817934,2
nondiff_switch,k=0.0,scalar,no_gap,piecewise,oracle_trend,5.7218771560308115,1.1179389032934253,0.0,2
nondiff_switch,k=0.0,scalar,no_gap,piecewise,tv_gp_lcb,1541.750347869366,241.2945821294313,1536.028470713335,2
nondiff_switch,k=0.0,scalar,no_gap,static,arcari_dual_smpc,39.94851998984874,16.709574668597906,35.035866198355336,2
nondiff_switch,k=0.0,scalar,no_gap,static,kh_dual_control,39.94851998984874,16.709574668597906,35.035866198355336,2
nondiff_switch,k=0.0,scalar,no_gap,static,oracle_trend,4.912653791493411,0.7838473926717214,0.0,2
nondiff_switch,k=0.0,scalar,no_gap,static,tv_gp_lcb,2773.9284343845557,704.2386293304013,2769.015780593062,2
nondiff_switch,k=0.05,scalar,gap,drifting,arcari_dual_smpc,26.575528219307106,0.7764982408626045,17.93701415080841,2
nondiff_switch,k=0.05,scalar,gap,drifting,kh_dual_control,23.658191502265645,2.1408384761788586,15.019677433766947,2
nondiff_switch,k=0.05,scalar,gap,drifting,oracle_trend,8.638514068498695,0.5983207394634639,0.0,2
nondiff_switch,k=0.05,scalar,gap,drifting,tv_gp_lcb,10093.5136510885,2174.6431482066455,10084.87513702,2
nondiff_switch,k=0.05,scalar,gap,piecewise,arcari_dual_smpc,39.94851998984874,16.709574668597906,33.085280013474424,2
nondiff_switch,k=0.05,scalar,gap,piecewise,kh_dual_control,39.94851998984874,16.709574668597906,33.085280013474424,2
nondiff_switch,k=0.05,scalar,gap,piecewise,oracle_trend,6.863239976374322,1.722245148464228,0.0,2
nondiff_switch,k=0.05,scalar,gap,piecewise,tv_gp_lcb,14440.732190264049,1161.5053343456946,14433.868950287673,2
nondiff_switch,k=0.05,scalar,gap,static,arcari_dual_smpc,39.94851998984874,16.709574668597906,34.952828464874926,2
nondiff_switch,k=0.05,scalar,gap,static,kh_dual_control,39.94851998984874,16.709574668597906,34.952828464874926,2
nondiff_switch,k=0.05,scalar,gap,static,oracle_trend,4.995691524973816,0.46482855097941966,0.0,2
nondiff_switch,k=0.05,scalar,gap,static,tv_gp_lcb,13035.890276847524,6143.266706513006,13030.89458532255,2
nondiff_switch,k=0.05,scalar,no_gap,drifting,arcari_dual_smpc,27.236059062433046,0.9412405470850125,16.461589970549376,2
nondiff_switch,k=0.05,scalar,no_gap,drifting,kh_dual_control,25.56130252477883,0.7335159905692041,14.786833432895161,2
nondiff_switch,k=0.05,scalar,no_gap,drifting,oracle_trend,10.77446909188367,1.494863470372885,0.0,2
nondiff_switch,k=0.05,scalar,no_gap,drifting,tv_gp_lcb,8567.701894678696,2165.369459907598,8556.927425586813,2
nondiff_switch,k=0.05,scalar,no_gap,piecewise,arcari_dual_smpc,39.94851998984874,16.709574668597906,33.976642833817934,2
nondiff_switch,k=0.05,scalar,no_gap,piecewise,kh_dual_control,39.94851998984874,16.709574668597906,33.976642833817934,2
nondiff_switch,k=0.05,scalar,no_gap,piecewise,oracle_trend,5.9718771560308115,1.1679389032934253,0.0,2
nondiff_switch,k=0.05,scalar,no_gap,piecewise,tv_gp_lcb,1542.9253478693659,241.26958212943146,1536.953470713335,2
nondiff_switch,k=0.05,scalar,no_gap,static,arcari_dual_smpc,39.94851998984874,16.709574668597906,34.83586619835533,2
nondiff_switch,k=0.05,scalar,no_gap,static,kh_dual_control,39.94851998984874,16.709574668597906,34.83586619835533,2
nondiff_switch,k=0.05,scalar,no_gap,static,oracle_trend,5.112653791493411,0.783847392671722,0.0,2
nondiff_switch,k=0.05,scalar,no_gap,static,tv_gp_lcb,2775.1284343845546,704.1886293304012,2770.015780593061,2
nondiff_switch,k=0.1,scalar,gap,drifting,arcari_dual_smpc,26.7255282193071,0.7264982408626056,17.89410237720101,2
nondiff_switch,k=0.1,scalar,gap,drifting,kh_dual_control,24.625636068944594,1.3733939094999046,15.794210226838496,2
nondiff_switch,k=0.1,scalar,gap,drifting,oracle_trend,8.831425842106096,0.49123251307086496,0.0,2
nondiff_switch,k=0.1,scalar,gap,drifting,tv_gp_lcb,10094.7386510885,2174.668148206646,10085.907225246394,2
nondiff_switch,k=0.1,scalar,gap,piecewise,arcari_dual_smpc,39.94851998984874,16.709574668597906,32.73528001347442,2
nondiff_switch,k=0.1,scalar,gap,piecewise,kh_dual_control,39.94851998984874,16.709574668597906,32.73528001347442,2
nondiff_switch,k=0.1,scalar,gap,piecewise,oracle_trend,7.2132399763743225,1.8722451484642277,0.0,2
nondiff_switch,k=0.1,scalar,gap,piecewise,tv_gp_lcb,14441.982190264052,1161.5553343456977,14434.768950287678,2
nondiff_switch,k=0.1,scalar,gap,static,arcari_dual_smpc,39.94851998984874,16.709574668597906,34.75282846487492,2
nondiff_switch,k=0.1,scalar,gap,static,kh_dual_control,39.94851998984874,16.709574668597906,34.75282846487492,2
nondiff_switch,k=0.1,scalar,gap,static,oracle_trend,5.1956915249738165,0.4648285509794192,0.0,2
nondiff_switch,k=0.1,scalar,gap,static,tv_gp_lcb,13037.165276847521,6143.291706513006,13031.96958532255,2
nondiff_switch,k=0.1,scalar,no_gap,drifting,arcari_dual_smpc,27.38605906243305,0.8912405470850064,16.11158997054938,2
nondiff_switch,k=0.1,scalar,no_gap,drifting,kh_dual_control,25.886302524778834,0.6085159905692111,14.611833432895164,2
