stress,level,environment,twin_gap,regime,baseline,mean_total_cost,stderr_total_cost,mean_oracle_regret,n
sparse_physical,m=10,scalar,gap,piecewise,tv_gp_lcb,7031.372582021364,1439.0425241614641,7024.5192953501655,2
sparse_physical,m=10,scalar,gap,static,arcari_dual_smpc,39.94851998984874,16.709574668597906,35.15282846487493,2
sparse_physical,m=10,scalar,gap,static,kh_dual_control,39.94851998984874,16.709574668597906,35.15282846487493,2
sparse_physical,m=10,scalar,gap,static,oracle_trend,4.795691524973817,0.4648285509794192,0.0,2
sparse_physical,m=10,scalar,gap,static,tv_gp_lcb,13690.116900539386,2307.2436180904797,13685.321209014412,2
sparse_physical,m=10,scalar,no_gap,drifting,arcari_dual_smpc,30.82025078027998,7.405017168092821,21.22032849698271,2
sparse_physical,m=10,scalar,no_gap,drifting,kh_dual_control,30.82025078027998,7.405017168092821,21.22032849698271,2
sparse_physical,m=10,scalar,no_gap,drifting,oracle_trend,9.599922283297273,0.7203166617864873,0.0,2
sparse_physical,m=10,scalar,no_gap,drifting,tv_gp_lcb,10349.009082452085,3884.85513425706,10339.409160168787,2
sparse_physical,m=10,scalar,no_gap,piecewise,arcari_dual_smpc,39.94851998984874,16.709574668597906,33.78003638574772,2
sparse_physical,m=10,scalar,no_gap,piecewise,kh_dual_control,39.94851998984874,16.709574668597906,33.78003638574772,2
sparse_physical,m=10,scalar,no_gap,piecewise,oracle_trend,6.168483604101025,1.5645453513636387,0.0,2
sparse_physical,m=10,scalar,no_gap,piecewise,tv_gp_lcb,7951.368389903949,1920.497530137799,7945.1999062998475,2
sparse_physical,m=10,scalar,no_gap,static,arcari_dual_smpc,39.94851998984874,16.709574668597906,35.035866198355336,2
sparse_physical,m=10,scalar,no_gap,static,kh_dual_control,39.94851998984874,16.709574668597906,35.035866198355336,2
sparse_physical,m=10,scalar,no_gap,static,oracle_trend,4.912653791493411,0.7838473926717214,0.0,2
sparse_physical,m=10,scalar,no_gap,static,tv_gp_lcb,12435.450214338969,458.744089856591,12430.537560547476,2
sparse_physical,m=20,scalar,gap,drifting,arcari_dual_smpc,30.177286564107828,7.508845232135694,21.91377249560913,2
sparse_physical,m=20,scalar,gap,drifting,kh_dual_control,30.177286564107828,7.508845232135694,21.91377249560913,2
sparse_physical,m=20,scalar,gap,drifting,oracle_trend,8.263514068498695,0.5233207394634629,0.0,2
sparse_physical,m=20,scalar,gap,drifting,tv_gp_lcb,3294.395975412927,1248.4596050948435,3286.132461344428,2
sparse_physical,m=20,scalar,gap,piecewise,arcari_dual_smpc,39.94851998984874,16.709574668597906,33.09523331864982,2
sparse_physical,m=20,scalar,gap,piecewise,kh_dual_control,39.94851998984874,16.709574668597906,33.09523331864982,2
sparse_physical,m=20,scalar,gap,piecewise,oracle_trend,6.853286671198925,1.912291843288829,0.0,2
sparse_physical,m=20,scalar,gap,piecewise,tv_gp_lcb,4623.360182848781,64.8795519678115,4616.506896177581,2
sparse_physical,m=20,scalar,gap,static,arcari_dual_smpc,39.94851998984874,16.709574668597906,35.15282846487493,2
sparse_physical,m=20,scalar,gap,static,kh_dual_control,39.94851998984874,16.709574668597906,35.15282846487493,2
sparse_physical,m=20,scalar,gap,static,oracle_trend,4.795691524973817,0.4648285509794192,0.0,2
sparse_physical,m=20,scalar,gap,static,tv_gp_lcb,2147.517591196355,43.72397502061881,2142.721899671381,2
sparse_physical,m=20,scalar,no_gap,drifting,arcari_dual_smpc,30.82025078027998,7.405017168092821,21.22032849698271,2
sparse_physical,m=20,scalar,no_gap,drifting,kh_dual_control,30.82025078027998,7.405017168092821,21.22032849698271,2
sparse_physical,m=20,scalar,no_gap,drifting,oracle_trend,9.599922283297273,0.7203166617864873,0.0,2
sparse_physical,m=20,scalar,no_gap,drifting,tv_gp_lcb,5042.780489103414,74.34692646901931,5033.180566820117,2
sparse_physical,m=20,scalar,no_gap,piecewise,arcari_dual_smpc,39.94851998984874,16.709574668597906,33.78003638574772,2
sparse_physical,m=20,scalar,no_gap,piecewise,kh_dual_control,39.94851998984874,16.709574668597906,33.78003638574772,2
sparse_physical,m=20,scalar,no_gap,piecewise,oracle_trend,6.168483604101025,1.5645453513636387,0.0,2
sparse_physical,m=20,scalar,no_gap,piecewise,tv_gp_lcb,3061.448704132584,1212.3452244141502,3055.2802205284834,2
sparse_physical,m=20,scalar,no_gap,static,arcari_dual_smpc,39.94851998984874,16.709574668597906,35.035866198355336,2
sparse_physical,m=20,scalar,no_gap,static,kh_dual_control,39.94851998984874,16.709574668597906,35.035866198355336,2
sparse_physical,m=20,scalar,no_gap,static,oracle_trend,4.912653791493411,0.7838473926717214,0.0,2
sparse_physical,m=20,scalar,no_gap,static,tv_gp_lcb,4606.845476076982,559.6643143385886,4601.932822285489,2
