environment,seed,baseline,calibration,planner,t,state,previous_action,action,next_state,calibration_output,true_theta,task_reward,energy_cost,switching_cost,failure_cost,net_reward,cumulative_task_reward,cumulative_energy_cost,cumulative_switching_cost,cumulative_failure_cost,cumulative_net_reward,planner_queries_step,planner_queries_total,cold_start_transitions,time,theta_mean,theta_var,ess,num_particles,weights_sum,expert_masses,expert_start_times,expert_mass_sum,anchor_start_time,restart_event,recent_change_probability,num_experts,inner_weight_sums
Toy1,0,ce_brpc,BRPC,CE,0,0.0,0.0,1.0,1.0358266144406558,1.0358266144406558,0.85,-0.0,0.05,0.2,0.0,-0.25,0.0,0.05,0.2,0.0,-0.25,8,8,2,2.0,0.8917382768528282,0.015466835402955533,7.951321076595624,8.0,1.0,,,,,,,,
Toy1,0,ce_brpc,BRPC,CE,1,1.0358266144406558,1.0,-0.5269673495964452,0.5494857855216896,0.5494857855216896,0.95,-0.08169685352260732,0.013884729377035106,0.4663258573467185,0.0,-0.561907440246361,-0.08169685352260732,0.06388472937703511,0.6663258573467186,0.0,-0.811907440246361,8,16,2,3.0,0.9542313883176146,0.010537608585641959,6.461096421468846,8.0,0.9999999999999999,,,,,,,,
Toy1,0,ce_brpc,BRPC,CE,2,0.5494857855216896,-0.5269673495964452,-0.15306330219349187,0.4487743068745311,0.4487743068745311,1.05,-0.04020595020785387,0.0011714187239188108,0.027960847332862,0.0,-0.06933821626463468,-0.1219028037304612,0.06505614810095392,0.6942867046795805,0.0,-0.8812456565109956,8,24,2,4.0,0.9769959007725385,0.00929005962124587,5.960837542888251,8.0,0.9999999999999999,,,,,,,,
Toy1,0,ps_brpc,BRPC,PS,0,0.0,0.0,0.415391639254662,0.4263947601141981,0.4263947601141981,0.85,-0.0,0.008627510698133762,0.03451004279253505,0.0,-0.04313755349066881,0.0,0.008627510698133762,0.03451004279253505,0.0,-0.04313755349066881,8,8,2,2.0,0.8917382768528282,0.015466835402955533,7.951321076595624,8.0,1.0,,,,,,,,
Toy1,0,ps_brpc,BRPC,PS,1,0.4263947601141981,0.415391639254662,-0.15306330219349187,0.3299590528520412,0.3299590528520412,0.95,-0.1047203512815474,0.0011714187239188108,0.06462820409136481,0.0,-0.170519974096831,-0.1047203512815474,0.009798929422052573,0.09913824688389986,0.0,-0.2136575275874998,8,16,2,3.0,0.9187132031339387,0.015213801993946546,7.659216711695762,8.0,0.9999999999999998,,,,,,,,
Toy1,0,ps_brpc,BRPC,PS,2,0.3299590528520412,-0.15306330219349187,-0.0640936176014261,0.2900749020970712,0.2900749020970712,1.05,-0.17643439728095434,0.00020539959086189187,0.0015831209552823336,0.0,-0.17822291782709856,-0.2811547485625017,0.010004329012914466,0.10072136783918219,0.0,-0.3918804454145984,8,24,2,4.0,0.9342496109198638,0.01556290395481838,7.463156210043609,8.0,0.9999999999999998,,,,,,,,
Toy1,0,ce_bbrpc,BOCPD-BRPC,CE,0,0.0,0.0,1.0,1.0358266144406558,1.0358266144406558,0.85,-0.0,0.05,0.2,0.0,-0.25,0.0,0.05,0.2,0.0,-0.25,8,8,2,,,,,,,[1.0],[0],1.0,0.0,0.0,1.0,1.0,[1.0]
Toy1,0,ce_bbrpc,BOCPD-BRPC,CE,1,1.0358266144406558,1.0,-0.4256225131492273,0.6537268238841446,0.6537268238841446,0.95,-0.08169685352260732,0.009057726184973207,0.4064799099995837,0.0,-0.4972344897071642,-0.08169685352260732,0.05905772618497321,0.6064799099995837,0.0,-0.7472344897071642,8,16,2,,,,,,,"[0.8619043933922439, 0.13809560660775613]","[0, 1]",1.0,0.0,0.0,0.13809560660775613,2.0,"[0.9999999999999998, 1.0]"
Toy1,0,ce_bbrpc,BOCPD-BRPC,CE,2,0.6537268238841446,-0.4256225131492273,0.2267198883501286,0.9453355273865881,0.9453355273865881,1.05,-0.00926852443943451,0.002570095388674739,0.08511012175878936,0.0,-0.09694874158689862,-0.09096537796204182,0.06162782157364795,0.6915900317583731,0.0,-0.8441832312940628,8,24,2,,,,,,,"[0.7773094105000726, 0.13208868973633017, 0.0906018997635973]","[0, 1, 2]",1.0,0.0,0.0,0.0906018997635973,3.0,"[0.9999999999999998, 1.0, 1.0]"
Toy1,0,ps_bbrpc,BOCPD-BRPC,PS,0,0.0,0.0,-0.4256225131492273,-0.42523053441955533,-0.42523053441955533,0.85,-0.0,0.009057726184973207,0.03623090473989283,0.0,-0.045288630924866034,0.0,0.009057726184973207,0.03623090473989283,0.0,-0.045288630924866034,8,8,2,,,,,,,[1.0],[0],1.0,0.0,0.0,1.0,1.0,[1.0]
