environment,baseline,calibration,planner,n_seeds,horizon,cold_start_transitions,mean_total_task_reward,stderr_total_task_reward,mean_total_energy_cost,stderr_total_energy_cost,mean_total_switching_cost,stderr_total_switching_cost,mean_total_failure_cost,stderr_total_failure_cost,mean_total_net_reward,stderr_total_net_reward,mean_mean_net_reward_per_step,stderr_mean_net_reward_per_step,mean_planner_queries_total,stderr_planner_queries_total,mean_mean_planner_queries_per_step,stderr_mean_planner_queries_per_step,mean_restart_count,stderr_restart_count
Toy1,ce_bbrpc,BOCPD-BRPC,CE,1,3,2,-0.09096537796204182,0.0,0.06162782157364795,0.0,0.6915900317583731,0.0,0.0,0.0,-0.8441832312940628,0.0,-0.28139441043135427,0.0,24.0,0.0,8.0,0.0,0.0,0.0
Toy1,ce_brpc,BRPC,CE,1,3,2,-0.1219028037304612,0.0,0.06505614810095392,0.0,0.6942867046795805,0.0,0.0,0.0,-0.8812456565109956,0.0,-0.29374855217033186,0.0,24.0,0.0,8.0,0.0,0.0,0.0
Toy1,ps_bbrpc,BOCPD-BRPC,PS,1,3,2,-1.4055107851986124,0.0,0.0669795042273936,0.0,0.5151820679762451,0.0,0.0,0.0,-1.9876723574022512,0.0,-0.662557452467417,0.0,24.0,0.0,8.0,0.0,0.0,0.0
Toy1,ps_brpc,BRPC,PS,1,3,2,-0.2811547485625017,0.0,0.010004329012914466,0.0,0.10072136783918219,0.0,0.0,0.0,-0.3918804454145984,0.0,-0.13062681513819946,0.0,24.0,0.0,8.0,0.0,0.0,0.0
Toy2,ce_bbrpc,BOCPD-BRPC,CE,1,3,2,1.204481576176475,0.0,0.01567113579801681,0.0,0.020421541619666188,0.0,0.0,0.0,1.1683888987587923,0.0,0.38946296625293075,0.0,24.0,0.0,8.0,0.0,1.0,0.0
Toy2,ce_brpc,BRPC,CE,1,3,2,1.3809682301910118,0.0,0.002670734850160496,0.0,0.029833001183603238,0.0,0.0,0.0,1.3484644941572481,0.0,0.4494881647190827,0.0,24.0,0.0,8.0,0.0,0.0,0.0
Toy2,ps_bbrpc,BOCPD-BRPC,PS,1,3,2,1.8472215284705311,0.0,0.005593046440047842,0.0,0.09557024462484377,0.0,0.0,0.0,1.7460582374056393,0.0,0.5820194124685464,0.0,24.0,0.0,8.0,0.0,0.0,0.0
Toy2,ps_brpc,BRPC,PS,1,3,2,1.4833014033956862,0.0,0.03454981944156997,0.0,0.10566548808167732,0.0,0.0,0.0,1.3430860958724389,0.0,0.44769536529081294,0.0,24.0,0.0,8.0,0.0,0.0,0.0
