u0,ce_cost,cautious_cost,bayes_dual_cost
-3.0,16.25,190.45850247958535,110.70635713887785
-2.97,15.892250000000006,186.61835303120301,108.48304294860182
-2.94,15.539000000000001,182.8179559347537,106.28612273953652
-2.91,15.190250000000002,179.05731119016357,104.11464714838375
-2.88,14.845999999999998,175.3364187973554,101.96693987545682
-2.85,14.506250000000001,171.65527875624915,99.8421601452044
-2.82,14.171,168.01389090506697,97.74030799451478
-2.79,13.840250000000001,164.41225452963545,95.66138346243639
-2.76,13.514,160.8503695453115,93.60538659032572
-2.73,13.192250000000001,157.3282359520448,91.5723174220073
-2.7,12.875000000000002,153.84585374978266,89.5621760039467
-2.67,12.56225,150.40322293846998,87.57496238543683
-2.64,12.254000000000001,147.00034351804928,85.61067661880058
-2.61,11.95025,143.63721548846024,83.66931875960915
-2.58,11.651000000000002,140.31383884923656,81.7508888669194
-2.55,11.35625,137.03021292014512,79.85538700353077
-2.52,11.066,133.7863370845004,77.9828132362648
-2.49,10.780250000000002,130.58221134229777,76.13316763626825
-2.46,10.499,127.41783569353238,74.30645027934285
-2.43,10.222250000000003,124.29321013819924,72.50266124630473
-2.4,9.95,121.20833467629294,70.72180062337527
-2.37,9.682250000000002,118.163209307808,68.96386850260818
-2.34,9.418999999999999,115.15783402059277,67.22886498235499
-2.31,9.160250000000001,112.19220878762223,65.51679016777442
-2.2800000000000002,8.906000000000004,109.2663336079011,63.82764417138907
-2.25,8.65625,106.38020848142571,62.16142711369548
-2.2199999999999998,8.410999999999998,103.53383340819242,60.51813912383284
-2.19,8.17025,100.72720838481891,58.897780340316885
-2.16,7.934000000000001,97.96033337348629,57.30035091184623
-2.13,7.702249999999999,95.23320836364086,55.72585099818994
-2.1,7.4750000000000005,92.54583335528245,54.17428077116462
-2.0700000000000003,7.252250000000003,89.89820834841109,52.64564041571237
-2.04,7.034000000000001,87.29033334302639,51.139930131090864
-2.01,6.820249999999999,84.72220833912837,49.65715013218963
-1.98,6.611000000000001,82.19383333648926,48.19730065098705
-1.95,6.40625,79.70520833468633,46.76038193816594
-1.92,6.2059999999999995,77.25633333371007,45.346394264907524
-1.8900000000000001,6.010250000000001,74.84720833350147,43.95533792488599
-1.86,5.819000000000001,72.4778333334576,42.58721323648965
-1.83,5.632250000000001,70.14820833342058,41.24202054529872
-1.8,5.450000000000001,67.85833333339029,39.91976022685255
-1.77,5.2722500000000005,65.60820833336687,38.62043268974678
-1.74,5.099,63.39783333335021,37.344038379104056
-1.71,4.93025,61.22720833334031,36.090577780471385
-1.6800000000000002,4.766000000000001,59.096333333335025,34.86005142420356
-1.6500000000000001,4.606250000000001,57.00520833333345,33.652459890402824
-1.62,4.4510000000000005,54.95383333333343,32.46780381449582
-1.59,4.30025,52.94220833333342,31.30608389354235
-1.56,4.154,50.970333333333365,30.16730089338661
-1.53,4.01225,49.03820833333337,29.051455656780288
-1.5,3.875,47.14583333333334,27.958549112629427
-1.47,3.74225,45.29320833333334,26.88858228654432
-1.44,3.614,43.480333333333334,25.84155631290359
-1.4100000000000001,3.4902500000000005,41.70720833333336,24.817472448682928
-1.3800000000000001,3.3710000000000004,39.97383333333336,23.81633208934565
-1.35,3.2562500000000005,38.280208333333334,22.83813678714926
-1.32,3.146,36.62633333333335,21.882888272291346
-1.29,3.0402500000000003,35.01220833333334,20.95058847740168
-1.26,2.939,33.43783333333334,20.041239565991553
-1.23,2.8422500000000004,31.903208333333346,19.154843965596264
-1.2000000000000002,2.7500000000000004,30.40833333333335,18.29140440650333
-1.1700000000000002,2.6622500000000007,28.95320833333335,17.450923967151446
-1.1400000000000001,2.5790000000000006,27.53783333333335,16.63340612752398
-1.11,2.5002500000000003,26.162208333333346,15.838854832159274
-1.08,2.426,24.82633333333334,15.067274564773566
-1.05,2.35625,23.530208333333345,14.318670436961938
-1.02,2.291,22.273833333333336,13.593048294036347
-0.9900000000000002,2.2302500000000007,21.057208333333353,12.89041484181293
-0.96,2.174,19.880333333333343,12.21077779912168
-0.9300000000000002,2.1222500000000006,18.743208333333342,11.554146082042609
-0.8999999999999999,2.0749999999999997,17.645833333333332,10.920530027457433
-0.8700000000000001,2.0322500000000003,16.588208333333338,10.309941665558107
-0.8399999999999999,1.994,15.570333333333336,9.722395053621739
-0.81,1.9602500000000003,14.592208333333343,9.157906686851444
-0.7800000000000002,1.9310000000000005,13.653833333333345,8.616496006668363
-0.75,1.90625,12.755208333333337,8.09818603289893
-0.7200000000000002,1.8860000000000001,11.896333333333342,7.603004154345408
-0.69,1.8702500000000002,11.077208333333337,7.130983122962319
-0.6600000000000001,1.859,10.297833333333337,6.682162311254947
-0.6299999999999999,1.8522500000000002,9.558208333333333,6.256589311904775
-0.6000000000000001,1.85,8.858333333333338,5.8543219848586885
-0.5700000000000003,1.8522500000000002,8.19820833333334,5.475431092752037
-0.54,1.8590000000000002,7.577833333333336,5.120003714129111
-0.5100000000000002,1.87025,6.997208333333339,4.788147690452636
-0.48,1.8860000000000001,6.456333333333333,4.479997454410292
-0.4500000000000002,1.90625,5.9552083333333385,4.195721713804504
-0.41999999999999993,1.9310000000000003,5.493833333333335,3.9355336431110137
-0.3900000000000001,1.9602500000000003,5.072208333333335,3.699704489914166
-0.3600000000000003,1.9939999999999998,4.690333333333339,3.4885818849781307
-0.33000000000000007,2.0322500000000003,4.348208333333335,3.3026147555074914
-0.30000000000000027,2.0749999999999997,4.045833333333337,3.1423878156288314
-0.27,2.12225,3.7832083333333335,3.0086707019763352
-0.2400000000000002,2.174,3.560333333333336,2.9024912331267663
-0.20999999999999996,2.2302500000000007,3.377208333333333,2.8252517628169063
-0.18000000000000016,2.2910000000000004,3.2338333333333344,2.7789264933856925
-0.1499999999999999,2.3562500000000006,3.130208333333334,2.766403754882771
-0.1200000000000001,2.426,3.0663333333333336,2.7920040483893933
-0.0900000000000003,2.5002499999999994,3.042208333333334,2.8616826737527594
-0.06000000000000005,2.5789999999999997,3.057833333333334,2.979455730504479
