experiment,controller,mean_total,stderr,mean_clair_gap,mean_observed
scalar_discrepancy,ad_rw,11.402680157001543,1.0425962425947046,1.675938742385972,80.0
scalar_discrepancy,ad_static,11.409179527904087,1.0410513425634471,1.6824381132885167,80.0
scalar_discrepancy,bayes2_rw,11.16104644010839,0.880402438698866,1.4343050254928191,80.0
scalar_discrepancy,bayes2_static,11.16104644010839,0.880402438698866,1.4343050254928191,80.0
scalar_discrepancy,cautious_rw,14.835032261307187,1.188364422099441,5.108290846691616,80.0
scalar_discrepancy,cautious_static,14.835032261307187,1.188364422099441,5.108290846691616,80.0
scalar_discrepancy,ce_rw,11.0670281633415,0.466164440885702,1.3402867487259296,80.0
scalar_discrepancy,ce_static,11.053390071711021,0.47401068671616803,1.32664865709545,80.0
scalar_discrepancy,clairvoyant,9.72674141461557,0.4640649142732715,0.0,80.0
scalar_discrepancy,scheduled_probe,20.118283856517966,1.0306854681358562,10.391542441902393,80.0
scalar_jumps,ad_rw,29.5857659524905,0.8683439685638411,2.561320223350788,240.0
scalar_jumps,ad_static,29.432531705739354,0.859033013226918,2.4080859765996396,240.0
scalar_jumps,bayes2_rw,30.545561356918853,1.2641530349647525,3.52111562777914,240.0
scalar_jumps,bayes2_static,30.352662361851937,1.2352595075559023,3.3282166327122233,240.0
scalar_jumps,cautious_rw,34.643191638401,4.625976283309829,7.618745909261282,240.0
scalar_jumps,cautious_static,35.679928446130134,5.703589505508733,8.655482716990422,240.0
scalar_jumps,ce_rw,29.547461669107797,0.6951933404418668,2.523015939968083,240.0
scalar_jumps,ce_static,29.58153491850376,0.6888745408419272,2.5570891893640457,240.0
scalar_jumps,clairvoyant,27.024445729139714,0.5646987524640321,0.0,240.0
scalar_jumps,scheduled_probe,51.99887899066996,0.9846692367224771,24.974433261530244,240.0
scalar_multimodal,ad_rw,15.139280668493996,0.9592211063582613,1.1192820833521122,120.0
scalar_multimodal,ad_static,15.166108547133625,0.9799836947676979,1.146109961991741,120.0
