baseline,pre_mean_action,post_mean_action,post_near_old_rate_abs_le_0p1,post_near_diag_rate_abs_le_0p1,post_near_new_rate_abs_le_0p1,post_mean_distance_to_new,post_mean_net_reward_step,post_mean_total_net_reward,mean_total_net_reward
ce_bbrpc,0.1987385116613893,0.2004406013785883,1.0,0.0,0.0,0.5995593986214115,1.1953676970125666,7.172206182075399,14.349210898683456
ce_brpc,0.20107192378895072,0.19920114121168336,1.0,0.0,0.0,0.6007988587883168,1.1857274324006275,7.114364594403765,14.286768004052385
oracle_current,0.19623649233385457,0.7140010288459069,0.11666666666666667,0.03333333333333333,0.85,0.09353528872643856,1.4003059144103382,8.401835486462028,15.594051967719613
oracle_future,0.19799413010891995,0.7403318348523407,0.06666666666666667,0.05,0.8833333333333333,0.06870865176916109,1.401310335550584,8.407862013303506,15.62177638890019
ps_bbrpc,0.31138127130444654,0.19968970965902494,1.0,0.0,0.0,0.600310290340975,1.1875709823765026,7.125425894259014,13.392057263443863
ps_brpc,0.22751950202389284,0.19835297919531786,1.0,0.0,0.0,0.6016470208046822,1.2042321376817844,7.225392826090706,13.983107968384251
