environment,baseline,mean_total_net_reward,stderr_total_net_reward,gap_vs_current_oracle
Toy1,ce_bbrpc,-2.8386895327867467,0.04349226060950349,0.10209706424057563
Toy1,ce_brpc,-2.8781494631133793,0.040972932678839696,0.14155699456720816
Toy1,oracle_current,-2.736592468546171,0.04218312704545633,0.0
Toy1,oracle_future,-0.4925505542435194,0.01573455386460343,-2.2440419143026515
Toy1,ps_bbrpc,-3.1533769540058794,0.07815445474164467,0.41678448545970825
Toy1,ps_brpc,-2.8439355746567943,0.10283099465850987,0.10734310611062314
Toy2,ce_bbrpc,14.349210898683456,0.07329829018222064,1.2448410690361573
Toy2,ce_brpc,14.286768004052385,0.08461619354749976,1.3072839636672278
Toy2,oracle_current,15.594051967719613,0.14284944669935046,0.0
Toy2,oracle_future,15.62177638890019,0.1300552108536456,-0.027724421180577608
Toy2,ps_bbrpc,13.392057263443863,0.3027067072838501,2.2019947042757497
Toy2,ps_brpc,13.983107968384251,0.22031035201491037,1.6109439993353618
