environment,seed,baseline,calibration,planner,t,state,previous_action,action,next_state,calibration_output,true_theta,predicted_reward,realized_reward,task_reward,energy_cost,switching_cost,failure_cost,net_reward,cumulative_task_reward,cumulative_energy_cost,cumulative_switching_cost,cumulative_failure_cost,cumulative_net_reward,planner_queries_step,planner_queries_total,cold_start_transitions,time,theta_mean,theta_var,ess,num_particles,weights_sum,expert_masses,expert_start_times,expert_mass_sum,anchor_start_time,restart_event,recent_change_probability,num_experts,inner_weight_sums,oracle_kind
Toy1,0,ce_brpc,BRPC,CE,10,0.7936595884388826,-0.05090568028992237,-0.05504903232332259,0.838603902977205,0.838603902977205,1.0318181818181817,nan,-0.0020611129338538605,-0.0019061596626526133,0.00015151979798671078,3.4334732145363415e-06,0.0,-0.0020611129338538605,-2.635607433576075,0.01811806366169468,0.0982224482744899,0.0,-2.751947945512259,256,2816,4,12.0,1.020612354434164,0.00672014498003407,29.374355035417455,32.0,0.9999999999999998,,,,,,,,,
Toy1,0,ce_brpc,BRPC,CE,11,0.838603902977205,-0.05504903232332259,-0.14128509061671418,0.8287636762572475,0.8287636762572475,1.05,nan,-0.01033605701431886,-0.007850651622793955,0.000998073841528657,0.0014873315499962466,0.0,-0.01033605701431886,-2.6434580851988687,0.019116137503223336,0.09970977982448616,0.0,-2.762284002526578,256,3072,4,13.0,1.0345882707397447,0.006270071203370731,26.624745084538215,32.0,1.0,,,,,,,,,
Toy1,0,ps_brpc,BRPC,PS,0,0.0,0.0,0.41042296967507785,0.421302994536841,0.421302994536841,0.85,nan,-0.04211175350922747,-0.0,0.008422350701845494,0.033689402807381974,0.0,-0.04211175350922747,0.0,0.008422350701845494,0.033689402807381974,0.0,-0.04211175350922747,256,256,4,2.0,0.9383115312788279,0.025115595533261308,29.438500230597263,32.0,1.0000000000000002,,,,,,,,,
Toy1,0,ps_brpc,BRPC,PS,1,0.421302994536841,0.41042296967507785,0.12883532653303925,0.573324101037047,0.573324101037047,0.8681818181818182,nan,-0.19418446042791085,-0.1774962132057095,0.0008299270681437424,0.015858320154057616,0.0,-0.19418446042791085,-0.1774962132057095,0.009252277769989235,0.04954772296143959,0.0,-0.23629621393713832,256,512,4,3.0,0.9444209812445383,0.024405673576982166,28.35601156739427,32.0,1.0,,,,,,,,,
Toy1,0,ps_brpc,BRPC,PS,2,0.573324101037047,0.12883532653303925,0.2079253862104904,0.7442973035525057,0.7442973035525057,0.8863636363636364,nan,-0.33211322064943377,-0.3287005248299381,0.0021616483115390796,0.0012510475079565567,0.0,-0.33211322064943377,-0.5061967380356476,0.011413926081528315,0.05079877046939615,0.0,-0.5684094345865721,256,768,4,4.0,0.944304606634546,0.021751021852914727,26.96882419577694,32.0,1.0,,,,,,,,,
Toy1,0,ps_brpc,BRPC,PS,3,0.7442973035525057,0.2079253862104904,0.0583504927095305,0.8346679489236826,0.8346679489236826,0.9045454545454545,nan,-0.5586232448286677,-0.5539784760755307,0.0001702389999722486,0.0044745297531646995,0.0,-0.5586232448286677,-1.0601752141111782,0.011584165081500564,0.05527330022256085,0.0,-1.1270326794152399,256,1024,4,5.0,0.9702027243470772,0.018106186562894554,23.62864284553273,32.0,1.0,,,,,,,,,
Toy1,0,ps_brpc,BRPC,PS,4,0.8346679489236826,0.0583504927095305,-0.0676179876242166,0.7525790220727117,0.7525790220727117,0.9227272727272727,nan,-0.7000728061805034,-0.6966705849604672,0.00022860961251743546,0.003173611607518726,0.0,-0.7000728061805034,-1.7568457990716455,0.011812774694018,0.05844691183007958,0.0,-1.8271054855957432,256,1280,4,6.0,0.9775626100278434,0.015868238199169785,20.637920672510507,32.0,0.9999999999999998,,,,,,,,,
Toy1,0,ps_brpc,BRPC,PS,5,0.7525790220727117,-0.0676179876242166,-0.036383460060515405,0.7330140235624264,0.7330140235624264,0.9409090909090909,nan,-0.5666364914146432,-0.566375184463919,6.618780829875598e-05,0.00019511914242552195,0.0,-0.5666364914146432,-2.3232209835355646,0.011878962502316756,0.0586420309725051,0.0,-2.3937419770103863,256,1536,4,7.0,0.9835104521742416,0.012649404640410561,18.549090894074542,32.0,1.0,,,,,,,,,
Toy1,0,ps_brpc,BRPC,PS,6,0.7330140235624264,-0.036383460060515405,0.02766798448465585,0.8009754690626737,0.8009754690626737,0.9590909090909091,nan,-0.0011473167734745932,-0.0002885233955378056,3.827586827215784e-05,0.0008205175096646297,0.0,-0.0011473167734745932,-2.3235095069311025,0.011917238370588914,0.05946254848216973,0.0,-2.394889293783861,256,1792,4,8.0,0.995546886828512,0.010876633408706218,16.96438475911255,32.0,1.0,,,,,,,,,
Toy1,0,ps_brpc,BRPC,PS,7,0.8009754690626737,0.02766798448465585,-0.10354847254794286,0.7533487918466939,0.7533487918466939,0.9772727272727273,nan,-0.006578164473747772,-0.002598498446159603,0.0005361143083506038,0.003443551719237565,0.0,-0.006578164473747772,-2.3261080053772623,0.012453352678939518,0.0629061002014073,0.0,-2.4014674582576085,256,2048,4,9.0,0.9984207750029982,0.007978493635812219,32.0,32.0,1.0,,,,,,,,,
Toy1,0,ps_brpc,BRPC,PS,8,0.7533487918466939,-0.10354847254794286,-0.039932864559737755,0.7455067838336707,0.7455067838336707,0.9954545454545455,nan,-0.0009003352063715987,-1.1214406832483535e-05,7.973168359731798e-05,0.0008093891159417972,0.0,-0.0009003352063715987,-2.3261192197840947,0.012533084362536836,0.06371548931734909,0.0,-2.40236779346398,256,2304,4,10.0,1.0072361212519882,0.007492165897843958,31.816127892476818,32.0,0.9999999999999998,,,,,,,,,
Toy1,0,ps_brpc,BRPC,PS,9,0.7455067838336707,-0.039932864559737755,-0.013129254007454544,0.7902363496339505,0.7902363496339505,1.0136363636363637,nan,-0.00017249456478466915,-2.0188991517362525e-05,8.618865539613061e-06,0.00014368670772769358,0.0,-0.00017249456478466915,-2.326139408775612,0.012541703228076448,0.06385917602507679,0.0,-2.402540288028765,256,2560,4,11.0,1.0114459944978542,0.006798375259847765,31.16088774151444,32.0,0.9999999999999999,,,,,,,,,
Toy1,0,ps_brpc,BRPC,PS,10,0.7902363496339505,-0.013129254007454544,0.0005825019667883707,0.8907092715764553,0.8907092715764553,1.0318181818181817,nan,-0.001656583247672012,-0.0016189638318655092,1.696542706561601e-08,3.760245037943725e-05,0.0,-0.001656583247672012,-2.3277583726074775,0.012541720193503513,0.06389677847545623,0.0,-2.404196871276437,256,2816,4,12.0,1.020481667295434,0.006794984620499872,29.603244867202715,32.0,0.9999999999999999,,,,,,,,,
