u0,ce_cost,kh_dual_cost
-3.0,16.10005,110.70644805245341
-2.985,15.920574999999998,109.59140078701012
-2.97,15.742300000000004,108.4832231736572
-2.955,15.565075,107.38152457094134
-2.94,15.38905,106.28625419194441
-2.925,15.214074999999998,105.1973261049489
-2.91,15.040300000000002,104.11482076426724
-2.895,14.867574999999999,103.03809390792429
-2.88,14.69605,101.96715130010075
-2.865,14.525575000000002,100.90193376871348
-2.85,14.356300000000001,99.84242340200446
-2.835,14.188074999999998,98.78867453078954
-2.82,14.021049999999999,97.74064535789
-2.805,13.855075000000003,96.69834114686488
-2.79,13.6903,95.66166120983277
-2.775,13.526574999999998,94.6307469721058
-2.76,13.364049999999999,93.60558023264271
-2.745,13.202575000000001,92.58614762563582
-2.73,13.042300000000001,91.57249415685764
-2.715,12.883074999999998,90.56454319376795
-2.7,12.725050000000001,89.56238895040553
-2.685,12.568075,88.56592081900523
-2.67,12.412299999999998,87.57519567518736
-2.6550000000000002,12.257575000000001,86.59020220318548
-2.64,12.10405,85.6109310442716
-2.625,11.951575,84.63735475857588
-2.61,11.800299999999998,83.66949540202117
-2.595,11.650075000000001,82.7074184827822
-2.58,11.501050000000001,81.7510550453067
-2.565,11.353075,80.8004598050106
-2.55,11.206299999999999,79.85560644904653
-2.535,11.060575,78.91647668169205
-2.52,10.91605,77.9831245787829
-2.505,10.772575,77.05545664973317
-2.49,10.630300000000002,76.13355103333564
-2.475,10.489075,75.2172994133288
-2.46,10.349049999999998,74.30676478112159
-2.4450000000000003,10.210075000000003,73.40196694640278
-2.43,10.072300000000002,72.50291370477369
-2.415,9.935575,71.60963039364866
-2.4,9.800049999999999,70.72205858067298
-2.385,9.665574999999999,69.84026368956734
-2.37,9.532300000000001,68.96414172384344
-2.355,9.400075000000001,68.0937868787021
-2.34,9.269049999999998,67.22917937849942
-2.325,9.139075000000002,66.3702780668818
-2.31,9.0103,65.5170913239274
-2.295,8.882575,64.66955435043502
-2.2800000000000002,8.756050000000002,63.82780903607053
-2.265,8.630575,62.99177536681609
-2.25,8.5063,62.16151165917782
-2.235,8.383074999999998,61.33699321477918
-2.2199999999999998,8.261049999999997,60.518211174982476
-2.205,8.140075,59.705208115082385
-2.19,8.020299999999999,58.89790780998362
-2.175,7.9015749999999985,58.09639432746905
-2.16,7.784050000000001,57.300601806798
-2.145,7.667575,56.5104795734714
-2.13,7.552299999999999,55.726056510856054
-2.115,7.438075000000001,54.94736087529584
-2.1,7.32505,54.174444052585656
-2.085,7.213075,53.40721185645638
-2.0700000000000003,7.102300000000002,52.64576930440438
-2.055,6.992575000000001,51.89005042398206
-2.04,6.88405,51.14008994412363
-2.025,6.776574999999999,50.395887484680586
-2.01,6.670299999999998,49.657409186327655
-1.995,6.565075,48.92471827405531
-1.98,6.46105,48.19766528088563
-1.965,6.358075,47.476313508638015
-1.95,6.2563,46.76065325584981
-1.935,6.155575000000001,46.05073083189756
-1.92,6.05605,45.34657828456114
-1.905,5.957575,44.64813824844041
-1.8900000000000001,5.860300000000001,43.955489077910094
-1.875,5.764075,43.26854586903882
-1.86,5.66905,42.58737946949449
-1.845,5.575075,41.911954188647115
-1.83,5.4823,41.24227074407678
-1.815,5.390575,40.578292945928695
-1.8,5.300050000000001,39.91998869861636
-1.7850000000000001,5.210575,39.26742842798839
-1.77,5.1223,38.62059161075794
-1.7550000000000001,5.035075000000001,37.9795142301579
-1.74,4.94905,37.344197186000436
-1.725,4.864075000000001,36.71460285376101
-1.71,4.7802999999999995,36.09080230034579
-1.695,4.6975750000000005,35.472683910381036
-1.6800000000000002,4.616050000000001,34.860350279496174
-1.665,4.535575000000001,34.253734602264856
-1.6500000000000001,4.456300000000001,33.652788868660764
-1.635,4.378075,33.05759193211567
-1.62,4.301050000000001,32.46809591077768
-1.605,4.225075,31.884350005646173
-1.59,4.1503000000000005,31.3063286934008
-1.575,4.076575,30.73406664106871
-1.56,4.00405,30.167568836939402
-1.5450000000000002,3.932575000000001,29.606790921899933
-1.53,3.8623000000000003,29.051771116523074
-1.5150000000000001,3.7930750000000004,28.502430062345667
-1.5,3.72505,27.958888076420706
-1.485,3.6580750000000006,27.420981533353554
-1.47,3.5923,26.88882733592397
-1.455,3.5275750000000006,26.36243407086078
-1.44,3.46405,25.84173607525385
-1.425,3.4015750000000002,25.32679008933248
-1.4100000000000001,3.3403000000000005,24.81758943901858
-1.395,3.280075,24.314129220094504
-1.3800000000000001,3.2210500000000004,23.81645842722712
-1.365,3.163075,23.32448452635979
-1.35,3.1063000000000005,22.838326305609893
-1.335,3.050575,22.357851381476692
-1.32,2.99605,21.883082747252555
-1.3050000000000002,2.9425750000000006,21.414043835842886
-1.29,2.8903000000000003,20.950766827218548
-1.2750000000000001,2.8390750000000002,20.493246955571127
-1.26,2.78905,20.04143167901568
-1.245,2.7400750000000005,19.595333632751306
-1.23,2.6923000000000004,19.155034014848894
-1.215,2.6455750000000005,18.720425789976055
-1.2000000000000002,2.6000500000000004,18.291656054368932
-1.185,2.555575,17.868550392738285
-1.1700000000000002,2.5123000000000006,17.451261710750007
-1.155,2.470075,17.03959791801506
-1.1400000000000001,2.42905,16.633727473408506
-1.125,2.389075,16.233556306476387
-1.11,2.3503,15.83914484326175
-1.095,2.312575,15.450446980937873
-1.08,2.27605,15.067531585927998
-1.0650000000000002,2.240575,14.690296057178143
-1.05,2.2063,14.318900503736284
-1.0350000000000001,2.1730750000000003,13.953203013636914
-1.02,2.14105,13.593306716809364
-1.0050000000000001,2.110075,13.239140830813394
-0.9900000000000002,2.0803000000000003,12.890641264315235
-0.9750000000000001,2.051575,12.547910948052445
-0.96,2.02405,12.210957931950755
-0.9450000000000003,1.9975750000000005,11.879748404674626
-0.9300000000000002,1.9723000000000004,11.554337077220708
-0.915,1.9480750000000002,11.234659663742448
-0.8999999999999999,1.92505,10.920712194678748
-0.8850000000000002,1.9030750000000003,10.612596271230354
-0.8700000000000001,1.8823000000000003,10.310153883570798
-0.855,1.8625749999999999,10.01356013024687
-0.8399999999999999,1.8440499999999997,9.722645797191012
-0.8250000000000002,1.826575,9.437486990546693
-0.81,1.8103,9.15809185375125
-0.7949999999999999,1.795075,8.88453445708444
-0.7800000000000002,1.7810500000000002,8.616705968202155
-0.7650000000000001,1.7680750000000003,8.354700820929564
-0.75,1.7563,8.098510536536862
-0.7349999999999999,1.745575,7.847965206495331
-0.7200000000000002,1.73605,7.603278714970031
-0.7050000000000001,1.727575,7.364365567490352
-0.69,1.7203,7.131249931030778
-0.6750000000000003,1.7140750000000002,6.903854957377318
-0.6600000000000001,1.70905,6.682315055608148
-0.645,1.7050750000000001,6.466612699420458
-0.6299999999999999,1.7023,6.256687643999925
-0.6150000000000002,1.7005750000000002,6.052664238798155
-0.6000000000000001,1.70005,5.854482766600664
-0.585,1.7005750000000002,5.662149074485222
-0.5700000000000003,1.7023000000000001,5.475693457958183
-0.5550000000000002,1.705075,5.2950296472060945
-0.54,1.70905,5.120273906370174
-0.5249999999999999,1.7140749999999998,4.951386396779267
-0.5100000000000002,1.7203,4.788354658887035
