environment,twin_gap,regime,baseline,mean_total_cost,stderr_total_cost,mean_oracle_regret,n
scalar,gap,drifting,arcari_dual_smpc,26.7255282193071,0.7264982408626056,17.89410237720101,2
scalar,gap,drifting,kh_dual_control,24.625636068944594,1.3733939094999046,15.794210226838496,2
scalar,gap,drifting,oracle_trend,8.831425842106096,0.49123251307086496,0.0,2
scalar,gap,drifting,tv_gp_lcb,10094.7386510885,2174.668148206646,10085.907225246394,2
scalar,gap,piecewise,arcari_dual_smpc,39.94851998984874,16.709574668597906,32.73528001347442,2
scalar,gap,piecewise,kh_dual_control,39.94851998984874,16.709574668597906,32.73528001347442,2
scalar,gap,piecewise,oracle_trend,7.2132399763743225,1.8722451484642277,0.0,2
scalar,gap,piecewise,tv_gp_lcb,14441.982190264052,1161.5553343456977,14434.768950287678,2
scalar,gap,static,arcari_dual_smpc,39.94851998984874,16.709574668597906,34.75282846487492,2
scalar,gap,static,kh_dual_control,39.94851998984874,16.709574668597906,34.75282846487492,2
scalar,gap,static,oracle_trend,5.1956915249738165,0.4648285509794192,0.0,2
scalar,gap,static,tv_gp_lcb,13037.165276847521,6143.291706513006,13031.96958532255,2
scalar,no_gap,drifting,arcari_dual_smpc,27.38605906243305,0.8912405470850064,16.11158997054938,2
scalar,no_gap,drifting,kh_dual_control,25.886302524778834,0.6085159905692111,14.611833432895164,2
scalar,no_gap,drifting,oracle_trend,11.274469091883669,1.5948634703728857,0.0,2
scalar,no_gap,drifting,tv_gp_lcb,7530.603734942331,1127.071300171232,7519.329265850447,2
scalar,no_gap,piecewise,arcari_dual_smpc,39.94851998984874,16.709574668597906,33.726642833817934,2
scalar,no_gap,piecewise,kh_dual_control,39.94851998984874,16.709574668597906,33.726642833817934,2
scalar,no_gap,piecewise,oracle_trend,6.2218771560308115,1.2179389032934251,0.0,2
scalar,no_gap,piecewise,tv_gp_lcb,1544.1003478693656,241.24458212943125,1537.878470713335,2
scalar,no_gap,static,arcari_dual_smpc,39.94851998984874,16.709574668597906,34.63586619835533,2
scalar,no_gap,static,kh_dual_control,39.94851998984874,16.709574668597906,34.63586619835533,2
scalar,no_gap,static,oracle_trend,5.312653791493411,0.7838473926717214,0.0,2
scalar,no_gap,static,tv_gp_lcb,2776.328434384555,704.1386293304017,2771.015780593061,2
